idx	X	Y	component
0	1005.279187338921	2958.851892701426	0
1	2041.570899971412	3265.111430405901	0
2	1503.20845861049	4295.675272041894	0
3	2041.576583070942	3265.111189050584	0
4	1000	3091.938818486289	0
5	2051.977667231287	3344.109126780408	0
6	1093.974272875203	2850.804210680498	0
7	2074.851867115969	3367.351402152186	0
8	1051.82844700315	3104.768385170058	0
9	2136.410816010553	3402.827531876789	0
10	1094.066465444019	3084.340087920908	0
11	2186.045101046708	3413.584410318873	0
12	1066.062311673915	3098.218807811642	0
13	2137.678020173771	3403.262719426448	0
14	1073.864531822532	3756.650248676899	0
15	2186.151156224689	3413.572666061891	0
16	1042.653054578317	3156.682174999088	0
17	2132.350971941953	3401.54066600901	0
18	1082.365335589129	3162.326918840034	0
19	2185.42784091481	3421.883401700568	0
20	1096.434892610472	3115.431688940255	0
21	2184.731455634639	3413.553695823982	0
22	1134.555737788527	2998.896878158328	0
23	2186.05520473668	3413.525452623541	0
24	1098.251728471834	3067.346311532202	0
25	2183.906597042602	3411.897465529531	0
26	1068.299840143562	3220.40441509668	0
27	2175.142147698061	3410.84300079681	0
28	1054.108825112489	3228.91660882638	0
29	2185.78869569808	3413.978030131217	0
30	1026.8406801862	3181.669946572649	0
31	2159.345829026657	3407.97085653276	0
32	1060.301541227702	3191.051628904238	0
33	2184.952854165836	3413.479384120544	0
34	1150.89448565233	3356.030961982804	0
35	1151.91880573699	3355.909420012707	0
36	1151.918660544325	3355.909408370448	0
37	2189.284867434646	3413.235934279171	0
38	1177.301692566281	3129.467120410714	0
39	2247.534458971815	3422.021907348637	0
40	1196.331051198416	3132.543588520697	0
41	2277.033753250056	3425.709166437332	0
42	1146.577508253045	3256.48046156225	0
43	2274.345645830472	3425.363934295569	0
44	1149.028714866436	3513.873507798775	0
45	2269.950945162942	3424.837142253255	0
46	1195.464230068814	3170.23598463573	0
47	2282.312645723578	3426.566140568309	0
48	1185.307519605645	3171.301083801437	0
49	2282.30237591904	3426.562317386341	0
50	1210.02762923413	3114.20022071109	0
51	2282.309364321321	3426.565814087244	0
52	1226.333994017943	3034.48632169947	0
53	2282.309795921959	3426.564635476551	0
54	1167.623850004951	3204.307396243066	0
55	2271.489525086829	3424.998469431605	0
56	1159.964922534942	3259.906705821267	0
57	2287.250329403818	3426.974349486793	0
58	1224.443022727384	2992.126239240816	0
59	2282.301255745551	3426.564303500431	0
60	1178.262834437832	3215.229031362688	0
61	2282.315476761723	3426.566942066397	0
62	1175.722368211107	3131.721675597462	0
63	2282.30291063679	3426.56351656133	0
64	1176.634115882305	3207.607261487599	0
65	2282.357071139035	3426.589822333181	0
66	1188.258781996148	3167.13928855188	0
67	2282.326152440131	3426.568508685118	0
68	1215.600486234151	3121.957932987117	0
69	2282.298125575442	3426.563169851729	0
70	1203.24607507381	3119.702255070588	0
71	2282.326673140778	3426.569563676732	0
72	1254.221951774234	3016.392952576098	0
73	2301.877273655555	3428.776255733427	0
74	1214.776736008615	3196.543467469636	0
75	2321.49020265197	3431.373197861971	0
76	1330.348609780835	2898.946263422642	0
77	2327.586651058926	3432.137700883715	0
78	1192.279707344831	3158.217615317897	0
79	2306.895115397114	3429.497381903587	0
80	1226.626488479	3209.752988658646	0
81	2334.927938453679	3433.206607445876	0
82	1302.208780570858	3082.807488314828	0
83	2377.231752444641	3439.813869833405	0
84	1220.232475006545	3187.852927297401	0
85	2344.805888916773	3434.622738160619	0
86	1227.297046713531	3236.971624191642	0
87	2353.380133757921	3435.957536749127	0
88	1223.172578775499	3549.28459216534	0
89	2378.554865588434	3440.05881194185	0
90	1240.696247048734	3142.020030058755	0
91	2355.830340481916	3436.337744410807	0
92	1285.214231215039	3166.41493214965	0
93	2377.223428208265	3439.811786349183	0
94	1299.200640880823	3073.90495920324	0
95	2368.338294858084	3438.296140961029	0
96	1314.17129646946	3095.981754869403	0
97	2378.56850167847	3440.072176022803	0
98	1272.723708328587	3192.945462993117	0
99	2375.929272665526	3439.57987483457	0
100	1221.935308359854	3246.132161962414	0
101	2372.139486412634	3438.928144389747	0
102	1312.092558010831	3084.0215509345	0
103	2378.543506932212	3440.057926325674	0
104	1317.068657196185	3854.984830064189	0
105	2378.543209966709	3440.057094053268	0
106	1306.807324542606	3129.369066479624	0
107	2378.552536830568	3440.059263981338	0
108	1286.684753504233	3223.856410075613	0
109	2379.78838560803	3440.273006752201	0
110	1265.727612133225	3215.754937758087	0
111	2378.545701428229	3440.058973369308	0
112	1334.500772770989	3062.751199733777	0
113	2379.861161826877	3440.285757203962	0
114	1379.874688036245	3008.362588284424	0
115	2434.749718332489	3450.370480061987	0
116	1300.823286878935	3255.625747306406	0
117	2421.490196757542	3447.8644622331	0
118	1324.038031147851	3138.031572430358	0
119	2434.829353085835	3450.389277219423	0
120	1379.769979036559	3018.285000591543	0
121	2434.763847468625	3450.3719690832	0
122	1283.658869480249	3239.368537103971	0
123	2434.770394613734	3450.370700024077	0
124	1306.253475263627	3175.551776057304	0
125	2434.771252516162	3450.371607709239	0
126	1344.813550123479	3150.242982826791	0
127	2463.658358768065	3456.16250070242	0
128	1349.402815655747	3089.428660490737	0
129	2434.756415710261	3450.369380558356	0
130	1311.831886107277	3183.752762625906	0
131	2434.677300925832	3450.386929750004	0
132	1336.95897132557	3219.78020316104	0
133	2463.661229993828	3456.170018017986	0
134	1362.393988841883	3131.490759045092	0
135	2463.662329354149	3456.164743003716	0
136	1349.318071971036	3262.062283567959	0
137	2463.64512722168	3456.173698565723	0
138	1341.087655717303	3145.043359835553	0
139	2472.368272846215	3457.877726912285	0
140	1363.074951172748	3156.901534411279	0
141	2495.291447458294	3462.781430693318	0
142	1338.106605810142	3111.221736771246	0
143	2463.661783606687	3456.164784425388	0
144	1343.866201025812	3192.481467285558	0
145	2463.663512306783	3456.165101274345	0
146	1377.797356675233	3127.915929033002	0
147	2480.717057960981	3459.678437580132	0
148	1441.269712775218	3199.395418125911	0
149	2563.181755879079	3478.372508796217	0
150	1501.9002877686	3194.717196825113	0
151	2594.037650096929	3485.796921298105	0
152	1394.567533861409	3333.198947631679	0
153	2590.12451878938	3484.86224825838	0
154	1415.621400971868	3323.308994668045	0
155	2594.003793147625	3485.792290208935	0
156	1448.13673638762	3212.401583297084	0
157	2593.991533117776	3485.787104447761	0
158	1485.068231300858	3067.9767844233	0
159	2591.900360992557	3485.276625683161	0
160	1488.538921413216	3087.869653584964	0
161	2594.005893747264	3485.791868759665	0
162	1556.669097657927	2933.371541719461	0
163	2594.032594179822	3485.797667878983	0
164	1434.525952727185	3244.531954637396	0
165	2594.013423360331	3485.790154980039	0
166	1538.158868466009	3086.811150837556	0
167	2614.252572410391	3490.642237146917	0
168	1481.413798544003	3273.751527869225	0
169	2614.338365257368	3490.6661446342	0
170	1531.449620016094	3088.821313652045	0
171	2600.307572908583	3487.295751053797	0
172	1579.044696265541	3059.558032497313	0
173	2614.216877045459	3490.635072163137	0
174	1466.513107184408	3343.844902435314	0
175	2614.146195661539	3490.618822593698	0
176	1492.040079064289	3404.002900111751	0
177	2614.238831703144	3490.641114028673	0
178	1545.939892477589	3208.993332954192	0
179	2614.319069465389	3490.657600909386	0
180	1496.476405569847	3141.962637193561	0
181	2614.172399058647	3490.620321723988	0
182	1481.767403526173	3179.576082008132	0
183	2614.302396594343	3490.643711273619	0
184	1538.397436685802	3324.494269288416	0
185	2614.220691899507	3490.635669180085	0
186	1504.090743521025	3266.625731217651	0
187	2614.231813729712	3490.638168318431	0
188	1583.539498068887	2942.601953422587	0
189	2614.273647937371	3490.648223565925	0
190	1495.221386485762	3274.992286154221	0
191	2614.31730776417	3490.653030666854	0
192	1484.413364220061	3358.738366191862	0
193	2614.292548430851	3490.65224359903	0
194	1490.945911306015	3355.572635853894	0
195	2614.277491811372	3490.648008969195	0
196	1530.267377758573	3139.585499235838	0
197	2614.211413009354	3490.632442386814	0
198	1518.618925514951	3214.427594467393	0
199	2614.397851574118	3490.683714914591	0
200	2189.262516582501	3413.231134408702	0
201	2189.762548020954	3414.239073476648	0
202	2189.731408584194	3414.241901771818	0
203	2187.035411294521	3414.45748666481	0
204	2041.576583070768	3265.111189051569	0
205	2052.000391645794	3344.118507606204	0
206	2051.982106121053	3344.111681588675	0
207	2074.869802173751	3367.348967459967	0
208	2074.851867116959	3367.351402152147	0
209	2132.350466123433	3401.535662858136	0
210	2132.352913398034	3401.540533016833	0
211	2136.428198241367	3402.823615388143	0
212	2136.411850450357	3402.826899843431	0
213	2137.698544255691	3403.259646356398	0
214	2137.683399377303	3403.263829686613	0
215	2159.377132828959	3407.968651033344	0
216	2159.38733595857	3407.970690659309	0
217	2164.099541960255	3408.848911959223	0
218	2164.085352910479	3408.847614019275	0
219	2165.582688765367	3409.156737962132	0
220	2164.084000514151	3408.845929493506	0
221	2165.681582416291	3409.176286232262	0
222	2165.684532183397	3409.176688418286	0
223	2175.159667350352	3410.850771318526	0
224	2175.12586411892	3410.839537565936	0
225	2185.86655228649	3414.170881592176	0
226	2186.751708624943	3414.747471324769	0
227	2183.980804006453	3411.973152459741	0
228	2183.966528494755	3411.962038830846	0
229	2186.13000263201	3413.546033841674	0
230	2186.780389768363	3414.152081540077	0
231	2185.663110811671	3421.754936940808	0
232	2185.66486278997	3421.749303972162	0
233	2187.903461909737	3416.532319273328	0
234	2187.892808846431	3416.483940723468	0
235	2191.561758570926	3418.693713387707	0
236	2187.034767477278	3414.457385741374	0
237	2204.994501296023	3417.67324334731	0
238	2191.55523114957	3418.684746009882	0
239	2200.677917831345	3418.19644875122	0
240	2200.682898488012	3418.197686733745	0
241	2204.693765434611	3417.887405717117	0
242	2204.701965104061	3417.889918536737	0
243	2206.753047951148	3415.573274388051	0
244	2206.74885257415	3415.565865493681	0
245	2206.51934408446	3415.065886055894	0
246	2206.512484537932	3415.06857046763	0
247	2209.089655607095	3417.645000291784	0
248	2209.081239625259	3417.657310276464	0
249	2239.754549456906	3420.068591980495	0
250	2239.754549457459	3420.068591981323	0
251	2239.610338067665	3420.646276822313	0
252	2240.378420157795	3420.176768362602	0
253	2240.110059218772	3420.634905844075	0
254	2239.677223855047	3420.650242247673	0
255	2221.9414503609	3419.150045131578	0
256	2221.862332581572	3419.140276894413	0
257	2247.066829487565	3421.973394767562	0
258	2247.069020317285	3421.973117759977	0
259	2269.875954179879	3424.827090151386	0
260	2269.875910775008	3424.827089337797	0
261	2271.433278383774	3424.991807705619	0
262	2271.420571623486	3424.990635767403	0
263	2274.241907831572	3425.350201118995	0
264	2274.262237315648	3425.352931123072	0
265	2276.999733068369	3425.704654723927	0
266	2277.004016429535	3425.705184790507	0
267	2282.285862531571	3426.560164104958	0
268	2282.308074327506	3426.565397330644	0
269	2287.213578608673	3426.969614324667	0
270	2287.216578340885	3426.969972935822	0
271	2301.882950707048	3428.775928801657	0
272	2301.878541587066	3428.77641367665	0
273	2306.888241140288	3429.494038051478	0
274	2306.895007922954	3429.49636873424	0
275	2321.44217228904	3431.356032622511	0
276	2321.44297779465	3431.355754198873	0
277	2327.569035666995	3432.135647739672	0
278	2327.577505247435	3432.136759959687	0
279	2334.924281240761	3433.203055863662	0
280	2334.927760779683	3433.203689504596	0
281	2344.802878190385	3434.622089135822	0
282	2344.800719859835	3434.621976092285	0
283	2353.392687217332	3435.950854572823	0
284	2353.393091016915	3435.949629760226	0
285	2355.824099441757	3436.335017897062	0
286	2355.824822680093	3436.335105324953	0
287	2368.318350517016	3438.291772118225	0
288	2368.318296427286	3438.291770607783	0
289	2372.142545617273	3438.926930179722	0
290	2372.145584207639	3438.928433483426	0
291	2375.935892360751	3439.577704677416	0
292	2375.917334872589	3439.572655238193	0
293	2377.250305162393	3439.814088843782	0
294	2377.253210286231	3439.814497044907	0
295	2378.524206398986	3440.053734419901	0
296	2378.560734315019	3440.059970967183	0
297	2379.874990485841	3440.285136211369	0
298	2379.874990484881	3440.285136211166	0
299	2421.469804955937	3447.849746845702	0
300	2421.497436594072	3447.856170909472	0
301	2434.768494861491	3450.371863619062	0
302	2434.773062706663	3450.371935507257	0
303	2444.189113178145	3452.07685061458	0
304	2443.973139359063	3452.012039931531	0
305	2445.427590039297	3452.328832450238	0
306	2444.191686958453	3452.077506101495	0
307	2445.499219028454	3452.345175009073	0
308	2445.504462454614	3452.346111434478	0
309	2463.647606261628	3456.160840790758	0
310	2463.648877712956	3456.160988612487	0
311	2472.320187115634	3457.864854798647	0
312	2472.32676349071	3457.866241728992	0
313	2480.726585216267	3459.678202718684	0
314	2480.722943577071	3459.67803318728	0
315	2495.25256117445	3462.774496174802	0
316	2495.242947587103	3462.771778654797	0
317	2529.960005258821	3470.632340335087	0
318	2529.571858452953	3470.579755821639	0
319	2531.380212267861	3470.967736874599	0
320	2529.965008381405	3470.632281265948	0
321	2531.56788545649	3470.994879246396	0
322	2531.549159059796	3470.991382696101	0
323	2563.168968812039	3478.369883177801	0
324	2563.182530186867	3478.372874697752	0
325	2590.064120571304	3484.840543276485	0
326	2590.065869348851	3484.842815154077	0
327	2591.942505545856	3485.287279138905	0
328	2591.942200735823	3485.28698113274	0
329	2594.009757845604	3485.790980570683	0
330	2594.020479673462	3485.793168247902	0
331	2600.31995359197	3487.296155392915	0
332	2600.279075972736	3487.286378565922	0
333	2614.15472501819	3490.620596856428	0
334	2614.189688029292	3490.626837829401	0
335	2705.028164130636	3512.904405660479	0
336	3321.621854718251	3225.966589093186	0
337	4268.872134780511	3547.277386605658	0
338	3286.931871855457	3618.577636663722	0
339	4280.215062223986	3548.571368290773	0
340	3478.449601904635	3195.013398148266	0
341	4413.676894851582	3554.640220159005	0
342	3492.297155444743	3147.438967902388	0
343	4413.680370477319	3554.641128052953	0
344	3417.21874453401	3523.043375154856	0
345	4413.801413352659	3554.688064088738	0
346	5503.83421000166	3176.074803187303	0
347	6432.547886924149	3572.908141032292	0
348	7402.107105288393	4159.109974114076	0
349	6389.07322448687	3572.748421027258	0
350	7430.974026320619	2984.208374226827	0
351	6388.019165158476	3572.731832828076	0
352	2705.044767157437	3512.916312874536	0
353	2707.714299079991	3513.392050082582	0
354	2707.706087866827	3513.394376388434	0
355	2686.831036138552	3516.15542728775	0
356	2686.831620062701	3516.154397296262	0
357	2673.987615965569	3522.119258934992	0
358	2676.911067854817	3516.389557165097	0
359	2673.406571626198	3522.033362335787	0
360	2673.971385921206	3522.120240318102	0
361	2623.832893694111	3569.798444418778	0
362	2623.73345097687	3569.907766808729	0
363	2624.161723691854	3570.142889265121	0
364	2623.834775866417	3569.79466767199	0
365	2624.334463549894	3570.2449726749	0
366	2624.330170509435	3570.245240088909	0
367	2556.713332317944	3745.325774721552	0
368	2707.927156021702	3513.380200150576	0
369	2712.340774475684	3513.200074522779	0
370	2711.818429886684	3512.996470065546	0
371	2865.771368946385	3746.261076379342	0
372	2712.327709683654	3513.2021026303	0
373	2946.680123712256	3494.572627813048	0
374	2556.709794147202	3745.341896953096	0
375	2556.299434650573	3746.388809445201	0
376	2556.713379670022	3745.330974364524	0
377	2556.298868909798	3746.401716628888	0
378	2556.29792676089	3746.403825852606	0
379	2553.326562943636	3757.418406267784	0
380	2553.32599295798	3757.422295219711	0
381	2553.026948205777	3758.510144888553	0
382	2553.326151379995	3757.418588676182	0
383	2553.026777608233	3758.510584916386	0
384	2553.026708280988	3758.511022125183	0
385	2552.022004799481	3762.850764704542	0
386	2551.97821214149	3762.836223950356	0
387	2551.831857359037	3763.920853568118	0
388	2552.020264880208	3762.857493923229	0
389	2551.840812589362	3763.935543869733	0
390	2551.841947287292	3763.93234769014	0
391	2551.592659215967	3767.1955536869	0
392	2551.574117710144	3767.193218693618	0
393	2551.543230423093	3768.284516621232	0
394	2551.59299393071	3767.19718381244	0
395	2551.548308367899	3768.288885148747	0
396	2551.549932190333	3768.288365884872	0
397	2551.864357920887	3771.525909410614	0
398	2551.864350787597	3771.524235590221	0
399	2552.026902495592	3772.587131462232	0
400	2551.864479596261	3771.525158611976	0
401	2552.036325225927	3772.585138492375	0
402	2552.035852855508	3772.585564580397	0
403	2554.580106476991	3780.821079530859	0
404	2554.579329511325	3780.822352627895	0
405	2555.103502149985	3781.761967517895	0
406	2554.578425604966	3780.822070726455	0
407	2555.102761051356	3781.75935298743	0
408	2555.105773184128	3781.761089409206	0
409	2559.409544662805	3787.928607543309	0
410	2559.40809672547	3787.928416940596	0
411	2560.173798025324	3788.662193520729	0
412	2559.404637000145	3787.927912164168	0
413	2560.172097636008	3788.665416088654	0
414	2559.408030039194	3787.927586118675	0
415	2560.172714440938	3788.665626446126	0
416	2560.172461145004	3788.664618123484	0
417	2564.521012028767	3791.829344083955	0
418	2564.523620740569	3791.826619077245	0
419	2565.49058850747	3792.277611772973	0
420	2564.522166590818	3791.828651208737	0
421	2565.494229583186	3792.286468476361	0
422	2564.522667479177	3791.826653157617	0
423	2565.494369007036	3792.285713108336	0
424	2565.495116025733	3792.285200198585	0
425	2793.453688132897	3806.584489780914	0
426	2793.458941112942	3806.586334453038	0
427	2794.255111045903	3806.160629179652	0
428	2793.453953105578	3806.584219205607	0
429	2794.494058495533	3806.238007709946	0
430	2794.496200749563	3806.237001262641	0
431	2840.498726499791	3777.658218822322	0
432	2840.956640111661	3777.921341424298	0
433	2841.290283630951	3776.921732017578	0
434	2840.497471299488	3777.656596177252	0
435	2841.292043938971	3776.925952617314	0
436	2841.294671214593	3776.925820974609	0
437	2865.676737484493	3746.230023352629	0
438	2946.694444098626	3494.571801338825	0
439	2950.455538770533	3494.434959100733	0
440	2946.697350899602	3494.573101637857	0
441	2950.444560809497	3494.436843890836	0
442	2950.439798859094	3494.437143908876	0
443	3264.906885545206	3499.463181034794	0
444	2865.676948831562	3746.229446180871	0
445	2873.011256792292	3726.200962675108	0
446	2873.010783392849	3726.203045141864	0
447	2873.236151982623	3725.11541441521	0
448	2873.012813822483	3726.19588597605	0
449	2873.235708155902	3725.114754369176	0
450	2873.237696490134	3725.109554928023	0
451	2873.614578126377	3721.760021761439	0
