idx	X	Y	component
0	1000.380543628053	1904.144869013602	0
1	2008.168741157406	1857.763358894524	0
2	1000	1898.014694913318	0
3	2008.166936821959	1857.76363783348	0
4	1001.947101868896	1882.734817587521	0
5	2008.168548478614	1857.763392615491	0
6	1078.159156144229	1831.317203038034	0
7	2084.463795397805	1843.175085778516	0
8	1080.558948636815	1943.753204009286	0
9	2087.571012817898	1842.957533717378	0
10	1076.802305646379	1850.965554082693	0
11	2089.674771749935	1842.752740916361	0
12	1090.721408541831	1884.304568411091	0
13	2097.25452172726	1842.567811041447	0
14	1088.442421667387	1884.142004963976	0
15	2097.256456386545	1842.568260135338	0
16	1086.017202473846	1880.602500679984	0
17	2098.380895358456	1842.591560945042	0
18	1114.591816293119	1869.511101913858	0
19	2128.190365417675	1843.091667404366	0
20	1121.189759186993	1849.885858924315	0
21	2132.590861221721	1843.208990358153	0
22	1621.774129168458	2750.560184016051	0
23	2175.633275306427	1841.991302407732	0
24	1358.890678773121	2439.366020242628	0
25	2180.745534784957	1847.012514026707	0
26	1251.191702303757	1849.759282151642	0
27	2254.011555749879	1850.125634662335	0
28	1255.546359658645	1853.230129587848	0
29	2254.011952909947	1850.125364650674	0
30	1332.386559426999	1839.263116549613	0
31	2336.131904625996	1879.510722763559	0
32	1345.868609046178	2068.498050644183	0
33	2336.129958914444	1879.50297500203	0
34	1335.301632575989	1881.703599218995	0
35	2341.010207633371	1879.867407280023	0
36	1334.715184750439	1906.031148033027	0
37	2340.330922705562	1880.723218668059	0
38	1335.983649090016	1856.183228650191	0
39	2341.007090448635	1879.862638432153	0
40	1337.4198399167	1865.033837653557	0
41	2341.380717858538	1878.832839434828	0
42	1336.391058746151	1880.464706317828	0
43	2341.425625208944	1878.897570623473	0
44	1338.456404748402	1838.600020272818	0
45	2341.369769524939	1878.818497794054	0
46	2008.169219625404	1857.763238356857	0
47	2037.174901711318	1850.881640956925	0
48	2037.183522762178	1850.877905043933	0
49	2037.329075223839	1850.818679285159	0
50	2037.229290202962	1850.855952477102	0
51	2084.464420454213	1843.17508652867	0
52	2084.464255003	1843.175062433821	0
53	2087.570796106658	1842.957684260491	0
54	2087.572202558331	1842.957562010875	0
55	2089.677493869349	1842.752966027707	0
56	2089.676348791079	1842.753003617234	0
57	2090.724713183565	1842.732495186635	0
58	2089.677161800319	1842.752933170177	0
59	2090.72727167128	1842.732464390615	0
60	2090.72676907359	1842.732474196704	0
61	2097.261947905721	1842.569305930501	0
62	2097.264067032083	1842.569480714106	0
63	2098.379121257818	1842.591981610021	0
64	2098.38091589318	1842.592054655311	0
65	2128.238431481819	1843.09742443399	0
66	2128.242671287549	1843.097695248961	0
67	2132.633350798562	1843.21384046847	0
68	2132.633770234788	1843.213846867751	0
69	2179.459626788441	1847.30746736226	0
70	2179.46200544481	1847.313831651123	0
71	2174.537548010787	1841.939897687682	0
72	2174.548852609947	1841.993599480046	0
73	2174.55157306802	1841.949492699605	0
74	2174.538730763132	1841.940042287942	0
75	2175.627881174856	1841.980090729062	0
76	2175.635820479714	1841.991800295966	0
77	2180.045272981981	1843.021285341673	0
78	2180.043949472089	1843.017912588748	0
79	2183.186155618227	1846.439865423625	0
80	2183.17484555113	1846.441633664617	0
81	2192.064847752812	1844.849169885297	0
82	2192.04786055876	1844.848886796428	0
83	2201.262492755101	1841.629120778604	0
84	2201.263390076612	1841.622118577644	0
85	2194.484992633563	1844.374397374059	0
86	2194.4795694309	1844.376226015646	0
87	2200.913638047779	1841.841287732632	0
88	2200.86986785322	1841.858470072482	0
89	2238.04326164024	1848.866995083304	0
90	2237.781956094426	1848.83359815623	0
91	2238.178362957355	1848.884886642967	0
92	2238.184120697482	1848.885575858671	0
93	2253.997202114046	1850.124737103224	0
94	2253.995902582912	1850.124633628035	0
95	2318.072656075903	1865.056313803841	0
96	2318.054221750506	1865.048565242823	0
97	2318.100581761915	1865.066512488752	0
98	2318.071055683125	1865.055832877082	0
99	2328.710122379089	1869.554959312462	0
100	2328.713741690157	1869.556402173011	0
101	2329.795935678161	1869.95429217339	0
102	2328.707754176354	1869.554153700955	0
103	2329.806526592398	1869.960045819237	0
104	2329.805362310792	1869.957585806854	0
105	2338.246878006918	1874.326220428952	0
106	2338.215245590854	1874.296047593521	0
107	2336.127905753321	1879.517408930795	0
108	2336.12741647417	1879.517337973306	0
109	2340.34069518204	1880.721137630546	0
110	2340.340069272977	1880.721363875429	0
111	2341.007545723452	1879.864047583932	0
112	2341.005337365543	1879.862183260174	0
113	2341.365786480204	1878.814109868488	0
114	2341.369780016026	1878.819949948224	0
115	2338.861779839961	1874.826136388572	0
116	2338.86456568609	1874.829108463982	0
117	2389.6887581638	1881.994346055763	0
118	2389.689694527024	1881.997087587458	0
119	2390.843169567775	1882.172026019208	0
120	2389.693497101482	1881.996659749454	0
121	2390.842808074845	1882.172525639018	0
122	2390.838815225725	1882.171921138195	0
123	2395.936360507698	1883.929011905032	0
124	2395.465466074213	1883.928140890044	0
125	2395.736818557783	1884.795441024671	0
126	2395.93807632467	1883.928659464442	0
127	2398.039350607203	1884.269890888965	0
128	2398.03935060804	1884.269890888412	0
129	2393.987014610801	1886.82893325596	0
130	2393.992422134379	1886.825129560844	0
131	2393.85091529457	1886.930469132241	0
132	2393.797986125675	1886.964772023115	0
133	2393.815078385029	1886.975075609149	0
134	2393.846822661784	1886.932796377812	0
135	2399.775534682107	1883.992008045767	0
136	2399.7925346212	1883.988533884666	0
