locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCHLHAEM_00001	CDS	723				hypothetical protein
LCHLHAEM_00002	CDS	513	BCRF1			Viral interleukin-10 
LCHLHAEM_00003	CDS	696				hypothetical protein
LCHLHAEM_00004	CDS	1068				hypothetical protein
LCHLHAEM_00005	CDS	828				Soluble interferon gamma receptor B8
LCHLHAEM_00006	CDS	489				hypothetical protein
LCHLHAEM_00007	CDS	1146				hypothetical protein
LCHLHAEM_00008	CDS	636				hypothetical protein
LCHLHAEM_00009	CDS	270				Protein K3
LCHLHAEM_00010	CDS	486				hypothetical protein
LCHLHAEM_00011	CDS	291				hypothetical protein
LCHLHAEM_00012	CDS	531				hypothetical protein
LCHLHAEM_00013	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
LCHLHAEM_00014	CDS	1689				Kelch repeat protein F3
LCHLHAEM_00015	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
LCHLHAEM_00016	CDS	99				hypothetical protein
LCHLHAEM_00017	CDS	327				hypothetical protein
LCHLHAEM_00018	CDS	219				hypothetical protein
LCHLHAEM_00019	CDS	651				Protein F9
LCHLHAEM_00020	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
LCHLHAEM_00021	CDS	129				hypothetical protein
LCHLHAEM_00022	CDS	150				hypothetical protein
LCHLHAEM_00023	CDS	1920				Protein F12
LCHLHAEM_00024	CDS	1113		3.1.1.-		Envelope phospholipase F13
LCHLHAEM_00025	CDS	147				hypothetical protein
LCHLHAEM_00026	CDS	438				hypothetical protein
LCHLHAEM_00027	CDS	660				hypothetical protein
LCHLHAEM_00028	CDS	315				Phosphoprotein F17
LCHLHAEM_00029	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
LCHLHAEM_00030	CDS	2208				Protein E2
LCHLHAEM_00031	CDS	579	E3L			Protein E3
LCHLHAEM_00032	CDS	606				hypothetical protein
LCHLHAEM_00033	CDS	1134				hypothetical protein
LCHLHAEM_00034	CDS	1701				Protein E6
LCHLHAEM_00035	CDS	798				Protein E8
LCHLHAEM_00036	CDS	3033	POL	2.7.7.7		DNA polymerase
LCHLHAEM_00037	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
LCHLHAEM_00038	CDS	393				Protein E11
LCHLHAEM_00039	CDS	2055				hypothetical protein
LCHLHAEM_00040	CDS	945				Telomere-binding protein I1
LCHLHAEM_00041	CDS	216				hypothetical protein
LCHLHAEM_00042	CDS	831	I3L			Protein I3
LCHLHAEM_00043	CDS	237				Protein I5
LCHLHAEM_00044	CDS	1185				Telomere-binding protein I6
LCHLHAEM_00045	CDS	1302		3.4.22.-		Core protease I7
LCHLHAEM_00046	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
LCHLHAEM_00047	CDS	1788		3.4.24.-		Metalloendopeptidase G1
LCHLHAEM_00048	CDS	246				Protein G3
LCHLHAEM_00049	CDS	669				Late transcription elongation factor G2
LCHLHAEM_00050	CDS	381				Glutaredoxin-2
LCHLHAEM_00051	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
LCHLHAEM_00052	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
LCHLHAEM_00053	CDS	525				hypothetical protein
LCHLHAEM_00054	CDS	1122				Assembly protein G7
LCHLHAEM_00055	CDS	783	VLTF1			Late transcription factor 1
LCHLHAEM_00056	CDS	1011				Myristoylated protein G9
LCHLHAEM_00057	CDS	738	L1R			Protein L1
LCHLHAEM_00058	CDS	279				Protein L2
LCHLHAEM_00059	CDS	957				Protein L3
LCHLHAEM_00060	CDS	762	L4R			Core protein VP8
LCHLHAEM_00061	CDS	396				Protein L5
LCHLHAEM_00062	CDS	444				Protein J1 
LCHLHAEM_00063	CDS	534	TK	2.7.1.21		Thymidine kinase
LCHLHAEM_00064	CDS	591				hypothetical protein
LCHLHAEM_00065	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
LCHLHAEM_00066	CDS	402				Protein J5
LCHLHAEM_00067	CDS	3858				hypothetical protein
LCHLHAEM_00068	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
LCHLHAEM_00069	CDS	573				Protein H2
LCHLHAEM_00070	CDS	969	H3L			Envelope protein H3
LCHLHAEM_00071	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
LCHLHAEM_00072	CDS	723				Late transcription elongation factor H5
LCHLHAEM_00073	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
LCHLHAEM_00074	CDS	444	H7R			Late protein H7
LCHLHAEM_00075	CDS	2529				mRNA-capping enzyme catalytic subunit
LCHLHAEM_00076	CDS	468	D4L			Core protein D4
LCHLHAEM_00077	CDS	738				27 kDa core protein
LCHLHAEM_00078	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
LCHLHAEM_00079	CDS	2361		3.6.4.-		Primase D5
LCHLHAEM_00080	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
LCHLHAEM_00081	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
LCHLHAEM_00082	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
LCHLHAEM_00083	CDS	762		3.1.3.-		mRNA-decapping protein D10
LCHLHAEM_00084	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
LCHLHAEM_00085	CDS	864				mRNA-capping enzyme regulatory subunit
LCHLHAEM_00086	CDS	1650				Scaffold protein D13
LCHLHAEM_00087	CDS	453	VLTF2			Viral late gene transcription factor 2
LCHLHAEM_00088	CDS	684	VLTF3			Viral late gene transcription factor 3
LCHLHAEM_00089	CDS	228				Protein A2.5
LCHLHAEM_00090	CDS	1983				Major core protein 4b
LCHLHAEM_00091	CDS	486				hypothetical protein
