Gene,Non-unique Gene name,Annotation,MN072619.1_Kenya_cattle,NC_003027.1_NI_2490_Kenya_1958,OM984485.1_XJ201901_China_2019_bovine,OQ511520.1_Thailand_Trang_2022_2022,OR567413.1_Jiling_2022_China_Dec_2022
group_113,,hypothetical protein,EJCKHNBG_00006,NMOBLELM_00006,AMKJIMAI_00006,JCHOPBNJ_00006,FMHLFHII_00006
group_112,,hypothetical protein,EJCKHNBG_00126,NMOBLELM_00126,AMKJIMAI_00127,JCHOPBNJ_00127,FMHLFHII_00127
group_111,,hypothetical protein,EJCKHNBG_00125,NMOBLELM_00125,AMKJIMAI_00126,JCHOPBNJ_00126,FMHLFHII_00126
group_110,,hypothetical protein,EJCKHNBG_00123,NMOBLELM_00123,AMKJIMAI_00124,JCHOPBNJ_00124,FMHLFHII_00124
group_109,,hypothetical protein,EJCKHNBG_00137,NMOBLELM_00137,AMKJIMAI_00138,JCHOPBNJ_00138,FMHLFHII_00138
group_108,,Protein L2,EJCKHNBG_00059,NMOBLELM_00059,AMKJIMAI_00060,JCHOPBNJ_00060,FMHLFHII_00060
group_107,,hypothetical protein,EJCKHNBG_00018,NMOBLELM_00018,AMKJIMAI_00019,JCHOPBNJ_00019,FMHLFHII_00019
group_106,,Soluble interferon gamma receptor B8,EJCKHNBG_00005,NMOBLELM_00005,AMKJIMAI_00005,JCHOPBNJ_00005,FMHLFHII_00005
group_105,,hypothetical protein,EJCKHNBG_00007,NMOBLELM_00007,AMKJIMAI_00007,JCHOPBNJ_00007,FMHLFHII_00007
group_104,,hypothetical protein,EJCKHNBG_00129,NMOBLELM_00129,AMKJIMAI_00130,JCHOPBNJ_00130,FMHLFHII_00130
group_103,,hypothetical protein,EJCKHNBG_00019,NMOBLELM_00019,AMKJIMAI_00020,JCHOPBNJ_00020,FMHLFHII_00020
group_102,,Kelch repeat protein F3;hypothetical protein,EJCKHNBG_00016,NMOBLELM_00016,AMKJIMAI_00016;AMKJIMAI_00017,JCHOPBNJ_00017;JCHOPBNJ_00016,FMHLFHII_00016;FMHLFHII_00017
group_101,,hypothetical protein,EJCKHNBG_00014,NMOBLELM_00014,AMKJIMAI_00014,JCHOPBNJ_00014,FMHLFHII_00014
group_100,,hypothetical protein,EJCKHNBG_00127,NMOBLELM_00127,AMKJIMAI_00128,JCHOPBNJ_00128,FMHLFHII_00128
L5R,;L5R,Protein L5,EJCKHNBG_00062,NMOBLELM_00062,AMKJIMAI_00063,JCHOPBNJ_00063,FMHLFHII_00063
