locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMOBLELM_00001	CDS	723				hypothetical protein
NMOBLELM_00002	CDS	513	BCRF1			Viral interleukin-10 
NMOBLELM_00003	CDS	696				hypothetical protein
NMOBLELM_00004	CDS	1068				hypothetical protein
NMOBLELM_00005	CDS	828				Soluble interferon gamma receptor B8
NMOBLELM_00006	CDS	693				hypothetical protein
NMOBLELM_00007	CDS	489				hypothetical protein
NMOBLELM_00008	CDS	1146				hypothetical protein
NMOBLELM_00009	CDS	636				hypothetical protein
NMOBLELM_00010	CDS	1026				hypothetical protein
NMOBLELM_00011	CDS	270				Protein K3
NMOBLELM_00012	CDS	486				hypothetical protein
NMOBLELM_00013	CDS	270				hypothetical protein
NMOBLELM_00014	CDS	531				hypothetical protein
NMOBLELM_00015	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
NMOBLELM_00016	CDS	1710				Kelch repeat protein F3
NMOBLELM_00017	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
NMOBLELM_00018	CDS	261				hypothetical protein
NMOBLELM_00019	CDS	339				hypothetical protein
NMOBLELM_00020	CDS	219				hypothetical protein
NMOBLELM_00021	CDS	651				Protein F9
NMOBLELM_00022	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
NMOBLELM_00023	CDS	909				hypothetical protein
NMOBLELM_00024	CDS	1917				Protein F12
NMOBLELM_00025	CDS	1113		3.1.1.-		Envelope phospholipase F13
NMOBLELM_00026	CDS	147				hypothetical protein
NMOBLELM_00027	CDS	438				hypothetical protein
NMOBLELM_00028	CDS	660				hypothetical protein
NMOBLELM_00029	CDS	315				Phosphoprotein F17
NMOBLELM_00030	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
NMOBLELM_00031	CDS	2208				Protein E2
NMOBLELM_00032	CDS	534	E3L			Protein E3
NMOBLELM_00033	CDS	606				hypothetical protein
NMOBLELM_00034	CDS	1125				hypothetical protein
NMOBLELM_00035	CDS	1701				Protein E6
NMOBLELM_00036	CDS	801				Protein E8
NMOBLELM_00037	CDS	3033	POL	2.7.7.7		DNA polymerase
NMOBLELM_00038	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
NMOBLELM_00039	CDS	393				Protein E11
NMOBLELM_00040	CDS	2055				hypothetical protein
NMOBLELM_00041	CDS	945				Telomere-binding protein I1
NMOBLELM_00042	CDS	219				hypothetical protein
NMOBLELM_00043	CDS	831	I3L			Protein I3
NMOBLELM_00044	CDS	237				Protein I5
NMOBLELM_00045	CDS	1185				Telomere-binding protein I6
NMOBLELM_00046	CDS	1302		3.4.22.-		Core protease I7
NMOBLELM_00047	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
NMOBLELM_00048	CDS	1791		3.4.24.-		Metalloendopeptidase G1
NMOBLELM_00049	CDS	246				Protein G3
NMOBLELM_00050	CDS	669				Late transcription elongation factor G2
NMOBLELM_00051	CDS	381				Glutaredoxin-2
NMOBLELM_00052	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
NMOBLELM_00053	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
NMOBLELM_00054	CDS	525				hypothetical protein
NMOBLELM_00055	CDS	1122				Assembly protein G7
NMOBLELM_00056	CDS	783	VLTF1			Late transcription factor 1
NMOBLELM_00057	CDS	1011				Myristoylated protein G9
NMOBLELM_00058	CDS	738	L1R			Protein L1
NMOBLELM_00059	CDS	279				Protein L2
NMOBLELM_00060	CDS	957				Protein L3
NMOBLELM_00061	CDS	762	L4R			Core protein VP8
NMOBLELM_00062	CDS	396				Protein L5
NMOBLELM_00063	CDS	444				Protein J1 
NMOBLELM_00064	CDS	534	TK	2.7.1.21		Thymidine kinase
NMOBLELM_00065	CDS	597				hypothetical protein
NMOBLELM_00066	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
NMOBLELM_00067	CDS	402				Protein J5
NMOBLELM_00068	CDS	3858				hypothetical protein
NMOBLELM_00069	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
NMOBLELM_00070	CDS	573				Protein H2
NMOBLELM_00071	CDS	969	H3L			Envelope protein H3
NMOBLELM_00072	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
NMOBLELM_00073	CDS	672				Late transcription elongation factor H5
NMOBLELM_00074	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
NMOBLELM_00075	CDS	444	H7R			Late protein H7
NMOBLELM_00076	CDS	2529				mRNA-capping enzyme catalytic subunit
NMOBLELM_00077	CDS	468	D4L			Core protein D4
NMOBLELM_00078	CDS	738				27 kDa core protein
NMOBLELM_00079	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
NMOBLELM_00080	CDS	2361		3.6.4.-		Primase D5
NMOBLELM_00081	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
NMOBLELM_00082	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
NMOBLELM_00083	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
NMOBLELM_00084	CDS	762		3.1.3.-		mRNA-decapping protein D10
NMOBLELM_00085	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
NMOBLELM_00086	CDS	864				mRNA-capping enzyme regulatory subunit
NMOBLELM_00087	CDS	1650				Scaffold protein D13
