Feature	Sequence[bp]	#Node
OQ434239.1_Sheeppox_virus_SPPV_Tver_Russia_2019_Russia_2019_Ovine	2050	2
OQ434238.1_Sheeppox_virus_SPPV_Pskov_Russia_2019_Russia_2019_Ovine	2001	2
OQ434237.1_Sheeppox_virus_SPPV_Kostroma_Russia_2020_Russia_2020_Ovine	2051	3
OQ434236.1_Sheeppox_virus_SPPV_Dagestan_Russia_2020_Russia_2020_Ovine	2036	36
OQ434235.1_Sheeppox_virus_SPPV_Amur_Russia_2018_Russia_2018_Ovine	2055	8
OR239060.1_Sheeppox_virus_V330_United_Arab_Emirates_2017_sheep	2044	44
NC_004002.1_Sheeppox_virus_17077_99_1970_sheep	2001	2
ON961657.1_Sheeppox_virus_Tula_Russia_2019_ovine	2003	4
ON961656.1_Sheeppox_virus_Moscow_Russia_2019_ovine	2002	3
ON961655.1_Sheeppox_virus_Moscow_Russia_2018_ovine	1003	3
MT137384.1_Sheeppox_virus_Srinagar_passage_40_vaccine_India_2000_sheep	2206	11
MW167071.1_Sheeppox_virus_V293_Egypt_2018_sheep	2115	26
MW167070.1_Sheeppox_virus_V123_IndiaSurankote_2013_sheep	2026	27
MW020571.1_Sheeppox_virus_V104_sheep	2003	4
MN072631.1_Sheeppox_virus_Turkey_vaccine_sheep	2005	6
MN072630.1_Sheeppox_virus_Saudi_Arabia_sheep	2022	23
MN072629.1_Sheeppox_virus_Pendik_sheep	2027	26
MN072628.1_Sheeppox_virus_Nigeria_sheep	1125	112
MN072627.1_Sheeppox_virus_Saudi_Arabia_vaccine_sheep	2080	22
MN072626.1_Sheeppox_virus_Abu_Gharib_Iraq_sheep	1153	23
KT438551.1_Sheeppox_virus_SPPV_GL_China_11_Apr_2013_Ovis_aries	2001	2
KT438550.1_Sheeppox_virus_SPPV_GH_China_11_Apr_2013_Ovis_aries	2008	6
AY077832.1_Sheeppox_virus_10700_99_TU_V02127_1970_sheep	2001	2
AY077834.1_Sheeppox_virus_NISKHI_1994	2065	2
AY077833.1_Sheeppox_virus_A_1987_sheep	2041	16
0	0	0
1	48124	415
2	1041	172
3	1220	102
4	28	21
5	66	48
6	27	22
7	161	57
8	32	31
9	75	12
10	46	10
11	66	37
12	104	8
13	28	8
14	69	36
15	54	9
16	16	12
17	149	35
18	70	44
19	73	20
20	41	39
21	109	20
22	115	91
23	1781	210
24	542	347
25	144800	832
