locus_tag	ftype	length_bp	gene	EC_number	COG	product
FIFPKDEO_00001	CDS	723				hypothetical protein
FIFPKDEO_00002	CDS	513	BCRF1			Viral interleukin-10 
FIFPKDEO_00003	CDS	696				hypothetical protein
FIFPKDEO_00004	CDS	1068				hypothetical protein
FIFPKDEO_00005	CDS	828				Soluble interferon gamma receptor B8
FIFPKDEO_00006	CDS	99				hypothetical protein
FIFPKDEO_00007	CDS	489				hypothetical protein
FIFPKDEO_00008	CDS	1125				G-protein coupled receptor US28
FIFPKDEO_00009	CDS	636				hypothetical protein
FIFPKDEO_00010	CDS	111				hypothetical protein
FIFPKDEO_00011	CDS	159				hypothetical protein
FIFPKDEO_00012	CDS	270				Protein K3
FIFPKDEO_00013	CDS	486				hypothetical protein
FIFPKDEO_00014	CDS	306				hypothetical protein
FIFPKDEO_00015	CDS	531				hypothetical protein
FIFPKDEO_00016	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
FIFPKDEO_00017	CDS	1689				Kelch repeat protein F3
FIFPKDEO_00018	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
FIFPKDEO_00019	CDS	99				hypothetical protein
FIFPKDEO_00020	CDS	321				hypothetical protein
FIFPKDEO_00021	CDS	219				hypothetical protein
FIFPKDEO_00022	CDS	651				Protein F9
FIFPKDEO_00023	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
FIFPKDEO_00024	CDS	129				hypothetical protein
FIFPKDEO_00025	CDS	1920				Protein F12
FIFPKDEO_00026	CDS	1113		3.1.1.-		Envelope phospholipase F13
FIFPKDEO_00027	CDS	147				hypothetical protein
FIFPKDEO_00028	CDS	438				hypothetical protein
FIFPKDEO_00029	CDS	660				hypothetical protein
FIFPKDEO_00030	CDS	315				Phosphoprotein F17
FIFPKDEO_00031	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
FIFPKDEO_00032	CDS	2208				Protein E2
FIFPKDEO_00033	CDS	534	E3L			Protein E3
FIFPKDEO_00034	CDS	606				hypothetical protein
FIFPKDEO_00035	CDS	1134				hypothetical protein
FIFPKDEO_00036	CDS	1701				Protein E6
FIFPKDEO_00037	CDS	798				Protein E8
FIFPKDEO_00038	CDS	3033	POL	2.7.7.7		DNA polymerase
FIFPKDEO_00039	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
FIFPKDEO_00040	CDS	393				Protein E11
FIFPKDEO_00041	CDS	2055				hypothetical protein
FIFPKDEO_00042	CDS	945				Telomere-binding protein I1
FIFPKDEO_00043	CDS	216				hypothetical protein
FIFPKDEO_00044	CDS	831	I3L			Protein I3
FIFPKDEO_00045	CDS	237				Protein I5
FIFPKDEO_00046	CDS	1185				Telomere-binding protein I6
FIFPKDEO_00047	CDS	1302		3.4.22.-		Core protease I7
FIFPKDEO_00048	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
FIFPKDEO_00049	CDS	1788		3.4.24.-		Metalloendopeptidase G1
FIFPKDEO_00050	CDS	246				Protein G3
FIFPKDEO_00051	CDS	669				Late transcription elongation factor G2
FIFPKDEO_00052	CDS	381				Glutaredoxin-2
FIFPKDEO_00053	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
FIFPKDEO_00054	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
FIFPKDEO_00055	CDS	525				hypothetical protein
FIFPKDEO_00056	CDS	1122				Assembly protein G7
FIFPKDEO_00057	CDS	783	VLTF1			Late transcription factor 1
FIFPKDEO_00058	CDS	1011				Myristoylated protein G9
FIFPKDEO_00059	CDS	738	L1R			Protein L1
FIFPKDEO_00060	CDS	279				Protein L2
FIFPKDEO_00061	CDS	957				Protein L3
FIFPKDEO_00062	CDS	762	L4R			Core protein VP8
FIFPKDEO_00063	CDS	396				Protein L5
FIFPKDEO_00064	CDS	444				Protein J1 
FIFPKDEO_00065	CDS	534	TK	2.7.1.21		Thymidine kinase
FIFPKDEO_00066	CDS	594				hypothetical protein
FIFPKDEO_00067	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
FIFPKDEO_00068	CDS	402				Protein J5
FIFPKDEO_00069	CDS	3858				hypothetical protein
FIFPKDEO_00070	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
FIFPKDEO_00071	CDS	573				Protein H2
FIFPKDEO_00072	CDS	969	H3L			Envelope protein H3
FIFPKDEO_00073	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
FIFPKDEO_00074	CDS	690	H5R			Late transcription elongation factor H5
FIFPKDEO_00075	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
FIFPKDEO_00076	CDS	444	H7R			Late protein H7
FIFPKDEO_00077	CDS	2529				mRNA-capping enzyme catalytic subunit
FIFPKDEO_00078	CDS	471	D4L			Core protein D4
FIFPKDEO_00079	CDS	738				27 kDa core protein
FIFPKDEO_00080	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
FIFPKDEO_00081	CDS	2361		3.6.4.-		Primase D5
FIFPKDEO_00082	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
FIFPKDEO_00083	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
FIFPKDEO_00084	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
FIFPKDEO_00085	CDS	762		3.1.3.-		mRNA-decapping protein D10
FIFPKDEO_00086	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
FIFPKDEO_00087	CDS	864				mRNA-capping enzyme regulatory subunit
FIFPKDEO_00088	CDS	1650				Scaffold protein D13
FIFPKDEO_00089	CDS	453	VLTF2			Viral late gene transcription factor 2
FIFPKDEO_00090	CDS	684	VLTF3			Viral late gene transcription factor 3
FIFPKDEO_00091	CDS	228				Protein A2.5
FIFPKDEO_00092	CDS	1983				Major core protein 4b
FIFPKDEO_00093	CDS	486				hypothetical protein
FIFPKDEO_00094	CDS	507		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
FIFPKDEO_00095	CDS	1128	A6L			Protein A6
FIFPKDEO_00096	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
FIFPKDEO_00097	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
FIFPKDEO_00098	CDS	237				Virion membrane protein A9
FIFPKDEO_00099	CDS	2712				Major core protein 4a precursor
FIFPKDEO_00100	CDS	954				Protein A11
FIFPKDEO_00101	CDS	573				25 kDa core protein A12L
FIFPKDEO_00102	CDS	204				hypothetical protein
FIFPKDEO_00103	CDS	288				Virion membrane protein A14
FIFPKDEO_00104	CDS	288				Core protein A15
FIFPKDEO_00105	CDS	1134				Virion membrane protein A16
FIFPKDEO_00106	CDS	585				Virion membrane protein A17 precursor
FIFPKDEO_00107	CDS	1443		3.6.4.-		Transcript termination protein A18
FIFPKDEO_00108	CDS	225				Protein A19
FIFPKDEO_00109	CDS	159				hypothetical protein
FIFPKDEO_00110	CDS	1293				DNA polymerase processivity factor component A20
FIFPKDEO_00111	CDS	540		3.1.-.-		Resolvase A22
FIFPKDEO_00112	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
FIFPKDEO_00113	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
FIFPKDEO_00114	CDS	447				hypothetical protein
FIFPKDEO_00115	CDS	423				Envelope protein A28
FIFPKDEO_00116	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
FIFPKDEO_00117	CDS	225				hypothetical protein
FIFPKDEO_00118	CDS	126				hypothetical protein
FIFPKDEO_00119	CDS	765				Protein A32
FIFPKDEO_00120	CDS	594				Protein A33
FIFPKDEO_00121	CDS	516				Protein A34
FIFPKDEO_00122	CDS	576				Protein A35
FIFPKDEO_00123	CDS	867				hypothetical protein
FIFPKDEO_00124	CDS	519				hypothetical protein
FIFPKDEO_00125	CDS	822				hypothetical protein
FIFPKDEO_00126	CDS	906				hypothetical protein
FIFPKDEO_00127	CDS	351				hypothetical protein
FIFPKDEO_00128	CDS	246				hypothetical protein
FIFPKDEO_00129	CDS	486				hypothetical protein
FIFPKDEO_00130	CDS	1677	LIG	6.5.1.1		DNA ligase
FIFPKDEO_00131	CDS	5907				hypothetical protein
FIFPKDEO_00132	CDS	1083				Soluble interferon alpha/beta receptor B18
FIFPKDEO_00133	CDS	462				hypothetical protein
FIFPKDEO_00134	CDS	1008				hypothetical protein
FIFPKDEO_00135	CDS	561				hypothetical protein
FIFPKDEO_00136	CDS	918	VPK1	2.7.11.1		B1 kinase
FIFPKDEO_00137	CDS	723				hypothetical protein
FIFPKDEO_00138	CDS	678	PS/HR			Protein B5
FIFPKDEO_00139	CDS	408				hypothetical protein
FIFPKDEO_00140	CDS	909				hypothetical protein
FIFPKDEO_00141	CDS	1644	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
FIFPKDEO_00142	CDS	1905				hypothetical protein
FIFPKDEO_00143	CDS	1239		3.1.1.-		Envelope phospholipase F13
FIFPKDEO_00144	CDS	1497				Ankyrin repeat domain-containing protein M-T5
FIFPKDEO_00145	CDS	1344				Ankyrin repeat domain-containing protein M-T5
FIFPKDEO_00146	CDS	1014	SERP2			Serine proteinase inhibitor 2
FIFPKDEO_00147	CDS	486				hypothetical protein
FIFPKDEO_00148	CDS	1659	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
FIFPKDEO_00149	CDS	1362				Ankyrin repeat domain-containing protein M-T5
FIFPKDEO_00150	CDS	723				hypothetical protein
