Accession	Node:0	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Seq:0	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24
OQ434239.1_Sheeppox_virus_SPPV_Tver_Russia_2019_Russia_2019_Ovine	2	4	2	1	2	1	24	7	8	4	2	1	2	31	1	4	24	17	17	39	20	90	209	347	832	2050	21	2	6	2	1	24	7	8	4	2	1	2	31	1	4	24	35	50	41	109	114	1780	542	144800
OQ434238.1_Sheeppox_virus_SPPV_Pskov_Russia_2019_Russia_2019_Ovine	2	2	2	0	1	1	24	7	8	4	2	1	2	31	1	4	25	20	20	38	20	90	209	347	832	2001	42	2	0	1	1	24	7	8	4	2	1	2	31	1	4	25	46	73	40	109	114	1780	542	144800
OQ434237.1_Sheeppox_virus_SPPV_Kostroma_Russia_2020_Russia_2020_Ovine	3	3	2	2	1	0	24	8	8	4	3	1	2	31	1	4	24	18	17	38	20	90	210	346	832	2051	20	2	7	1	0	24	8	8	4	3	1	2	31	1	4	24	36	50	40	109	114	1781	541	144800
OQ434236.1_Sheeppox_virus_SPPV_Dagestan_Russia_2020_Russia_2020_Ovine	36	2	0	0	2	0	24	7	8	4	3	1	2	32	1	4	25	20	20	39	20	91	209	313	832	2036	42	0	0	2	0	24	7	8	4	3	1	2	32	1	4	25	46	73	41	109	115	1780	507	144800
OQ434235.1_Sheeppox_virus_SPPV_Amur_Russia_2018_Russia_2018_Ovine	8	0	49	4	1	2	3	3	2	4	29	3	1	2	2	8	28	40	17	36	17	45	210	340	832	2055	0	50	4	1	2	4	3	2	4	29	3	1	2	2	8	28	66	66	38	106	69	1781	535	144800
OR239060.1_Sheeppox_virus_V330_United_Arab_Emirates_2017_sheep	44	3	6	6	42	18	29	23	4	7	34	7	6	5	8	11	11	31	9	5	19	88	208	311	832	2044	36	123	8	60	23	132	24	67	43	63	103	26	38	53	15	125	55	62	5	108	112	1779	503	144800
NC_004002.1_Sheeppox_virus_17077_99_1970_sheep	2	21	5	9	41	17	27	20	1	5	31	2	1	2	4	8	11	29	5	5	6	84	190	347	832	2001	564	5	9	52	17	54	21	1	5	31	2	1	2	9	8	87	45	38	5	8	84	1484	542	144800
ON961657.1_Sheeppox_virus_Tula_Russia_2019_ovine	4	2	0	0	1	1	24	7	8	4	3	1	2	31	2	4	27	18	16	39	20	91	209	345	832	2003	20	0	0	1	1	24	7	8	4	3	1	2	31	11	8	68	28	36	41	109	115	1780	540	144800
ON961656.1_Sheeppox_virus_Moscow_Russia_2019_ovine	3	2	0	0	0	1	24	7	8	4	3	1	1	31	2	4	27	18	16	39	20	91	209	347	832	2002	20	0	0	0	1	24	7	8	4	3	1	1	31	11	8	68	28	36	41	109	115	1780	542	144800
ON961655.1_Sheeppox_virus_Moscow_Russia_2018_ovine	3	0	1	0	1	0	24	7	8	4	4	5	6	34	6	4	30	18	16	39	20	91	210	346	832	1003	0	1000	0	1	0	24	7	8	4	4	32	25	67	51	8	144	28	36	41	109	115	1781	541	144800
MT137384.1_Sheeppox_virus_Srinagar_passage_40_vaccine_India_2000_sheep	11	5	0	2	1	1	3	6	7	2	5	7	7	35	7	6	31	41	20	39	19	91	209	338	832	2206	5	0	2	1	1	3	6	7	5	32	34	27	68	52	10	145	51	73	41	106	115	1780	533	144800
MW167071.1_Sheeppox_virus_V293_Egypt_2018_sheep	26	4	9	9	41	17	29	23	4	7	33	6	5	4	8	11	12	30	8	5	14	86	207	323	832	2115	82	82	11	51	22	56	24	67	43	62	102	25	37	53	15	126	54	61	5	103	110	1778	514	144800
MW167070.1_Sheeppox_virus_V123_IndiaSurankote_2013_sheep	27	4	20	1	4	4	18	3	2	2	8	7	8	35	9	11	34	43	20	37	19	78	208	326	832	2026	4	64	1	10	9	121	3	65	38	37	103	28	68	54	15	148	69	73	39	108	102	1779	521	144800
MW020571.1_Sheeppox_virus_V104_sheep	4	13	18	3	4	3	18	2	2	2	5	5	8	35	9	11	34	44	20	37	18	78	200	347	832	2003	46	135	5	11	8	121	2	65	38	34	101	28	68	54	15	148	70	73	39	105	102	1514	542	144800
MN072631.1_Sheeppox_virus_Turkey_vaccine_sheep	6	11	4	2	2	1	4	1	2	2	6	5	7	36	9	12	34	44	20	38	19	91	197	342	832	2005	11	5	2	2	1	81	1	65	38	35	101	27	69	54	16	148	70	73	40	108	115	1768	537	144800
MN072630.1_Sheeppox_virus_Saudi_Arabia_sheep	23	11	2	1	1	2	4	4	2	2	6	5	7	36	9	10	32	43	19	38	18	90	198	328	832	2022	11	3	1	1	2	81	4	65	38	35	101	27	69	54	14	146	69	72	40	105	114	1769	523	144800
MN072629.1_Sheeppox_virus_Pendik_sheep	26	3	3	7	39	17	28	22	4	6	34	6	6	4	8	11	12	31	8	5	13	90	208	325	832	2027	81	3	7	48	17	55	23	67	42	63	102	26	37	53	15	126	55	61	5	102	114	1522	515	144800
MN072628.1_Sheeppox_virus_Nigeria_sheep	112	21	20	4	0	13	13	20	2	4	32	2	3	4	8	11	12	30	10	39	17	71	191	250	832	1125	21	1019	4	0	13	13	21	2	37	34	71	16	20	53	15	126	54	63	41	106	95	1762	445	144800
MN072627.1_Sheeppox_virus_Saudi_Arabia_vaccine_sheep	22	96	20	4	3	3	9	20	2	5	30	4	4	4	5	6	11	30	13	35	12	66	63	318	832	2080	235	20	9	5	3	10	21	2	5	30	73	12	37	36	6	122	30	17	37	14	66	597	440	144800
MN072626.1_Sheeppox_virus_Abu_Gharib_Iraq_sheep	23	93	21	4	3	4	8	21	2	5	29	3	1	2	4	7	11	32	14	35	12	66	58	318	832	1153	145	1021	9	5	4	9	22	2	5	29	3	1	19	35	11	122	34	18	37	14	90	592	404	144800
