locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOHMNAMF_00001	CDS	723				hypothetical protein
BOHMNAMF_00002	CDS	513	BCRF1			Viral interleukin-10 
BOHMNAMF_00003	CDS	696				hypothetical protein
BOHMNAMF_00004	CDS	1068				hypothetical protein
BOHMNAMF_00005	CDS	828				Soluble interferon gamma receptor B8
BOHMNAMF_00006	CDS	129				hypothetical protein
BOHMNAMF_00007	CDS	489				hypothetical protein
BOHMNAMF_00008	CDS	1125				G-protein coupled receptor US28
BOHMNAMF_00009	CDS	636				hypothetical protein
BOHMNAMF_00010	CDS	111				hypothetical protein
BOHMNAMF_00011	CDS	159				hypothetical protein
BOHMNAMF_00012	CDS	270				Protein K3
BOHMNAMF_00013	CDS	486				hypothetical protein
BOHMNAMF_00014	CDS	306				hypothetical protein
BOHMNAMF_00015	CDS	531				hypothetical protein
BOHMNAMF_00016	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
BOHMNAMF_00017	CDS	1689				Kelch repeat protein F3
BOHMNAMF_00018	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
BOHMNAMF_00019	CDS	99				hypothetical protein
BOHMNAMF_00020	CDS	321				hypothetical protein
BOHMNAMF_00021	CDS	219				hypothetical protein
BOHMNAMF_00022	CDS	651				Protein F9
BOHMNAMF_00023	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
BOHMNAMF_00024	CDS	129				hypothetical protein
BOHMNAMF_00025	CDS	1920				Protein F12
BOHMNAMF_00026	CDS	1113		3.1.1.-		Envelope phospholipase F13
BOHMNAMF_00027	CDS	147				hypothetical protein
BOHMNAMF_00028	CDS	438				hypothetical protein
BOHMNAMF_00029	CDS	660				hypothetical protein
BOHMNAMF_00030	CDS	315				Phosphoprotein F17
BOHMNAMF_00031	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
BOHMNAMF_00032	CDS	2208				Protein E2
BOHMNAMF_00033	CDS	534	E3L			Protein E3
BOHMNAMF_00034	CDS	606				hypothetical protein
BOHMNAMF_00035	CDS	1134				hypothetical protein
BOHMNAMF_00036	CDS	1701				Protein E6
BOHMNAMF_00037	CDS	798				Protein E8
BOHMNAMF_00038	CDS	3033	POL	2.7.7.7		DNA polymerase
BOHMNAMF_00039	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
