locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMKJIMAI_00001	CDS	723				hypothetical protein
AMKJIMAI_00002	CDS	513	BCRF1			Viral interleukin-10 
AMKJIMAI_00003	CDS	696				hypothetical protein
AMKJIMAI_00004	CDS	1068				hypothetical protein
AMKJIMAI_00005	CDS	828				Soluble interferon gamma receptor B8
AMKJIMAI_00006	CDS	693				hypothetical protein
AMKJIMAI_00007	CDS	489				hypothetical protein
AMKJIMAI_00008	CDS	1146				hypothetical protein
AMKJIMAI_00009	CDS	636				hypothetical protein
AMKJIMAI_00010	CDS	1026				hypothetical protein
AMKJIMAI_00011	CDS	270				Protein K3
AMKJIMAI_00012	CDS	486				hypothetical protein
AMKJIMAI_00013	CDS	270				hypothetical protein
AMKJIMAI_00014	CDS	531				hypothetical protein
AMKJIMAI_00015	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
AMKJIMAI_00016	CDS	1266				Kelch repeat protein F3
AMKJIMAI_00017	CDS	453				hypothetical protein
AMKJIMAI_00018	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
AMKJIMAI_00019	CDS	261				hypothetical protein
AMKJIMAI_00020	CDS	339				hypothetical protein
AMKJIMAI_00021	CDS	219				hypothetical protein
AMKJIMAI_00022	CDS	651				Protein F9
AMKJIMAI_00023	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
AMKJIMAI_00024	CDS	909				hypothetical protein
AMKJIMAI_00025	CDS	1917				Protein F12
AMKJIMAI_00026	CDS	1113		3.1.1.-		Envelope phospholipase F13
AMKJIMAI_00027	CDS	147				hypothetical protein
AMKJIMAI_00028	CDS	438				hypothetical protein
AMKJIMAI_00029	CDS	660				hypothetical protein
AMKJIMAI_00030	CDS	315				Phosphoprotein F17
AMKJIMAI_00031	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
AMKJIMAI_00032	CDS	2208				Protein E2
AMKJIMAI_00033	CDS	579	E3L			Protein E3
AMKJIMAI_00034	CDS	606				hypothetical protein
AMKJIMAI_00035	CDS	1134				hypothetical protein
AMKJIMAI_00036	CDS	1701				Protein E6
AMKJIMAI_00037	CDS	801				Protein E8
AMKJIMAI_00038	CDS	3033	POL	2.7.7.7		DNA polymerase
AMKJIMAI_00039	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
AMKJIMAI_00040	CDS	393				Protein E11
AMKJIMAI_00041	CDS	2055				hypothetical protein
AMKJIMAI_00042	CDS	945				Telomere-binding protein I1
AMKJIMAI_00043	CDS	219				hypothetical protein
AMKJIMAI_00044	CDS	831	I3L			Protein I3
AMKJIMAI_00045	CDS	237				Protein I5
AMKJIMAI_00046	CDS	1185				Telomere-binding protein I6
AMKJIMAI_00047	CDS	1302		3.4.22.-		Core protease I7
AMKJIMAI_00048	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
AMKJIMAI_00049	CDS	1791		3.4.24.-		Metalloendopeptidase G1
AMKJIMAI_00050	CDS	246				Protein G3
AMKJIMAI_00051	CDS	669				Late transcription elongation factor G2
AMKJIMAI_00052	CDS	381				Glutaredoxin-2
AMKJIMAI_00053	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
AMKJIMAI_00054	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
AMKJIMAI_00055	CDS	525				hypothetical protein
AMKJIMAI_00056	CDS	1122				Assembly protein G7
AMKJIMAI_00057	CDS	783	VLTF1			Late transcription factor 1
AMKJIMAI_00058	CDS	1011				Myristoylated protein G9
AMKJIMAI_00059	CDS	738	L1R			Protein L1
AMKJIMAI_00060	CDS	279				Protein L2
AMKJIMAI_00061	CDS	957				Protein L3
AMKJIMAI_00062	CDS	762	L4R			Core protein VP8
AMKJIMAI_00063	CDS	396	L5R			Protein L5
AMKJIMAI_00064	CDS	447				Protein J1 
AMKJIMAI_00065	CDS	534	TK	2.7.1.21		Thymidine kinase
AMKJIMAI_00066	CDS	594				hypothetical protein
AMKJIMAI_00067	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
AMKJIMAI_00068	CDS	402				Protein J5
AMKJIMAI_00069	CDS	3858				hypothetical protein
AMKJIMAI_00070	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
AMKJIMAI_00071	CDS	573				Protein H2
AMKJIMAI_00072	CDS	969	H3L			Envelope protein H3
AMKJIMAI_00073	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
AMKJIMAI_00074	CDS	672				Late transcription elongation factor H5
AMKJIMAI_00075	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
AMKJIMAI_00076	CDS	444	H7R			Late protein H7
AMKJIMAI_00077	CDS	2529				mRNA-capping enzyme catalytic subunit
AMKJIMAI_00078	CDS	468	D4L			Core protein D4
AMKJIMAI_00079	CDS	738				27 kDa core protein
AMKJIMAI_00080	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
AMKJIMAI_00081	CDS	2361		3.6.4.-		Primase D5
AMKJIMAI_00082	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
AMKJIMAI_00083	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
AMKJIMAI_00084	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
AMKJIMAI_00085	CDS	762		3.1.3.-		mRNA-decapping protein D10
AMKJIMAI_00086	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
AMKJIMAI_00087	CDS	864				mRNA-capping enzyme regulatory subunit
AMKJIMAI_00088	CDS	1650				Scaffold protein D13
AMKJIMAI_00089	CDS	453	VLTF2			Viral late gene transcription factor 2
AMKJIMAI_00090	CDS	684	VLTF3			Viral late gene transcription factor 3
AMKJIMAI_00091	CDS	228				Protein A2.5
AMKJIMAI_00092	CDS	1986				Major core protein 4b
AMKJIMAI_00093	CDS	486				hypothetical protein
AMKJIMAI_00094	CDS	513		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
AMKJIMAI_00095	CDS	1128	A6L			Protein A6
AMKJIMAI_00096	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
AMKJIMAI_00097	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
AMKJIMAI_00098	CDS	237				Virion membrane protein A9
AMKJIMAI_00099	CDS	2712				Major core protein 4a precursor
AMKJIMAI_00100	CDS	954				Protein A11
AMKJIMAI_00101	CDS	573				25 kDa core protein A12L
