locus_tag	ftype	length_bp	gene	EC_number	COG	product
LPLCCJCO_00001	CDS	723				hypothetical protein
LPLCCJCO_00002	CDS	513	BCRF1			Viral interleukin-10 
LPLCCJCO_00003	CDS	696				hypothetical protein
LPLCCJCO_00004	CDS	1068				hypothetical protein
LPLCCJCO_00005	CDS	828				Soluble interferon gamma receptor B8
LPLCCJCO_00006	CDS	489				hypothetical protein
LPLCCJCO_00007	CDS	1146				hypothetical protein
LPLCCJCO_00008	CDS	636				hypothetical protein
LPLCCJCO_00009	CDS	270				Protein K3
LPLCCJCO_00010	CDS	486				hypothetical protein
LPLCCJCO_00011	CDS	291				hypothetical protein
LPLCCJCO_00012	CDS	531				hypothetical protein
LPLCCJCO_00013	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
LPLCCJCO_00014	CDS	849				Kelch repeat protein F3
LPLCCJCO_00015	CDS	696				Kelch repeat protein F3
LPLCCJCO_00016	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
LPLCCJCO_00017	CDS	99				hypothetical protein
LPLCCJCO_00018	CDS	327				hypothetical protein
LPLCCJCO_00019	CDS	219				hypothetical protein
LPLCCJCO_00020	CDS	651				Protein F9
LPLCCJCO_00021	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
LPLCCJCO_00022	CDS	129				hypothetical protein
LPLCCJCO_00023	CDS	150				hypothetical protein
LPLCCJCO_00024	CDS	1920				Protein F12
LPLCCJCO_00025	CDS	1113		3.1.1.-		Envelope phospholipase F13
LPLCCJCO_00026	CDS	147				hypothetical protein
LPLCCJCO_00027	CDS	438				hypothetical protein
LPLCCJCO_00028	CDS	660				hypothetical protein
LPLCCJCO_00029	CDS	315				Phosphoprotein F17
LPLCCJCO_00030	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
LPLCCJCO_00031	CDS	2208				Protein E2
LPLCCJCO_00032	CDS	579	E3L			Protein E3
LPLCCJCO_00033	CDS	606				hypothetical protein
LPLCCJCO_00034	CDS	1134				hypothetical protein
LPLCCJCO_00035	CDS	1701				Protein E6
LPLCCJCO_00036	CDS	798				Protein E8
LPLCCJCO_00037	CDS	3033	POL	2.7.7.7		DNA polymerase
LPLCCJCO_00038	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
LPLCCJCO_00039	CDS	393				Protein E11
LPLCCJCO_00040	CDS	2055				hypothetical protein
LPLCCJCO_00041	CDS	945				Telomere-binding protein I1
LPLCCJCO_00042	CDS	216				hypothetical protein
LPLCCJCO_00043	CDS	831	I3L			Protein I3
LPLCCJCO_00044	CDS	237				Protein I5
LPLCCJCO_00045	CDS	1185				Telomere-binding protein I6
LPLCCJCO_00046	CDS	1302		3.4.22.-		Core protease I7
LPLCCJCO_00047	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
LPLCCJCO_00048	CDS	1788		3.4.24.-		Metalloendopeptidase G1
LPLCCJCO_00049	CDS	246				Protein G3
LPLCCJCO_00050	CDS	669				Late transcription elongation factor G2
LPLCCJCO_00051	CDS	381				Glutaredoxin-2
LPLCCJCO_00052	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
LPLCCJCO_00053	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
LPLCCJCO_00054	CDS	525				hypothetical protein
LPLCCJCO_00055	CDS	1122				Assembly protein G7
LPLCCJCO_00056	CDS	783	VLTF1			Late transcription factor 1
LPLCCJCO_00057	CDS	1011				Myristoylated protein G9
LPLCCJCO_00058	CDS	738	L1R			Protein L1
LPLCCJCO_00059	CDS	279				Protein L2
LPLCCJCO_00060	CDS	957				Protein L3
LPLCCJCO_00061	CDS	762	L4R			Core protein VP8
LPLCCJCO_00062	CDS	396				Protein L5
LPLCCJCO_00063	CDS	444				Protein J1 
LPLCCJCO_00064	CDS	534	TK	2.7.1.21		Thymidine kinase
LPLCCJCO_00065	CDS	591				hypothetical protein
LPLCCJCO_00066	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
LPLCCJCO_00067	CDS	402				Protein J5
LPLCCJCO_00068	CDS	3858				hypothetical protein
LPLCCJCO_00069	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
LPLCCJCO_00070	CDS	573				Protein H2
LPLCCJCO_00071	CDS	969	H3L			Envelope protein H3
LPLCCJCO_00072	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
LPLCCJCO_00073	CDS	723				Late transcription elongation factor H5
LPLCCJCO_00074	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
LPLCCJCO_00075	CDS	444	H7R			Late protein H7
LPLCCJCO_00076	CDS	2529				mRNA-capping enzyme catalytic subunit
LPLCCJCO_00077	CDS	468	D4L			Core protein D4
LPLCCJCO_00078	CDS	738				27 kDa core protein
LPLCCJCO_00079	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
LPLCCJCO_00080	CDS	2361		3.6.4.-		Primase D5
LPLCCJCO_00081	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
LPLCCJCO_00082	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
LPLCCJCO_00083	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
LPLCCJCO_00084	CDS	762		3.1.3.-		mRNA-decapping protein D10
LPLCCJCO_00085	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
LPLCCJCO_00086	CDS	864				mRNA-capping enzyme regulatory subunit
LPLCCJCO_00087	CDS	1650				Scaffold protein D13
LPLCCJCO_00088	CDS	453	VLTF2			Viral late gene transcription factor 2
LPLCCJCO_00089	CDS	684	VLTF3			Viral late gene transcription factor 3
LPLCCJCO_00090	CDS	228				Protein A2.5
LPLCCJCO_00091	CDS	1983				Major core protein 4b
LPLCCJCO_00092	CDS	486				hypothetical protein
LPLCCJCO_00093	CDS	504		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
