locus_tag	ftype	length_bp	gene	EC_number	COG	product
JELMLCED_00001	CDS	111				hypothetical protein
JELMLCED_00002	CDS	723				hypothetical protein
JELMLCED_00003	CDS	513	BCRF1			Viral interleukin-10 
JELMLCED_00004	CDS	696				hypothetical protein
JELMLCED_00005	CDS	1068				hypothetical protein
JELMLCED_00006	CDS	828				Soluble interferon gamma receptor B8
JELMLCED_00007	CDS	129				hypothetical protein
JELMLCED_00008	CDS	489				hypothetical protein
JELMLCED_00009	CDS	1125				G-protein coupled receptor US28
JELMLCED_00010	CDS	627				hypothetical protein
JELMLCED_00011	CDS	111				hypothetical protein
JELMLCED_00012	CDS	159				hypothetical protein
JELMLCED_00013	CDS	270				Protein K3
JELMLCED_00014	CDS	486				hypothetical protein
JELMLCED_00015	CDS	306				hypothetical protein
JELMLCED_00016	CDS	531				hypothetical protein
JELMLCED_00017	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
JELMLCED_00018	CDS	1689				Kelch repeat protein F3
JELMLCED_00019	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
JELMLCED_00020	CDS	99				hypothetical protein
JELMLCED_00021	CDS	321				hypothetical protein
JELMLCED_00022	CDS	219				hypothetical protein
JELMLCED_00023	CDS	651				Protein F9
JELMLCED_00024	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
JELMLCED_00025	CDS	129				hypothetical protein
JELMLCED_00026	CDS	123				hypothetical protein
JELMLCED_00027	CDS	1920				Protein F12
JELMLCED_00028	CDS	1113		3.1.1.-		Envelope phospholipase F13
JELMLCED_00029	CDS	147				hypothetical protein
JELMLCED_00030	CDS	438				hypothetical protein
JELMLCED_00031	CDS	660				hypothetical protein
JELMLCED_00032	CDS	315				Phosphoprotein F17
JELMLCED_00033	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
JELMLCED_00034	CDS	2208				Protein E2
JELMLCED_00035	CDS	534	E3L			Protein E3
JELMLCED_00036	CDS	606				hypothetical protein
JELMLCED_00037	CDS	1134				hypothetical protein
JELMLCED_00038	CDS	1701				Protein E6
JELMLCED_00039	CDS	798				Protein E8
JELMLCED_00040	CDS	3033	POL	2.7.7.7		DNA polymerase
JELMLCED_00041	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
JELMLCED_00042	CDS	393				Protein E11
JELMLCED_00043	CDS	2055				hypothetical protein
JELMLCED_00044	CDS	945				Telomere-binding protein I1
JELMLCED_00045	CDS	216				hypothetical protein
JELMLCED_00046	CDS	831	I3L			Protein I3
JELMLCED_00047	CDS	183				hypothetical protein
JELMLCED_00048	CDS	1185				Telomere-binding protein I6
JELMLCED_00049	CDS	1302		3.4.22.-		Core protease I7
JELMLCED_00050	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
JELMLCED_00051	CDS	1788		3.4.24.-		Metalloendopeptidase G1
JELMLCED_00052	CDS	246				Protein G3
JELMLCED_00053	CDS	669				Late transcription elongation factor G2
JELMLCED_00054	CDS	381				Glutaredoxin-2
JELMLCED_00055	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
JELMLCED_00056	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
JELMLCED_00057	CDS	525				hypothetical protein
JELMLCED_00058	CDS	1122				Assembly protein G7
JELMLCED_00059	CDS	783	VLTF1			Late transcription factor 1
JELMLCED_00060	CDS	1011				Myristoylated protein G9
JELMLCED_00061	CDS	738	L1R			Protein L1
JELMLCED_00062	CDS	279				Protein L2
JELMLCED_00063	CDS	957				Protein L3
JELMLCED_00064	CDS	762	L4R			Core protein VP8
JELMLCED_00065	CDS	396				Protein L5
JELMLCED_00066	CDS	444				Protein J1 
JELMLCED_00067	CDS	534	TK	2.7.1.21		Thymidine kinase
JELMLCED_00068	CDS	594				hypothetical protein
JELMLCED_00069	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
JELMLCED_00070	CDS	402				Protein J5
JELMLCED_00071	CDS	3858				hypothetical protein
JELMLCED_00072	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
JELMLCED_00073	CDS	573				Protein H2
JELMLCED_00074	CDS	969	H3L			Envelope protein H3
JELMLCED_00075	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
JELMLCED_00076	CDS	678	H5R			Late transcription elongation factor H5
JELMLCED_00077	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
JELMLCED_00078	CDS	444	H7R			Late protein H7
JELMLCED_00079	CDS	2529				mRNA-capping enzyme catalytic subunit
JELMLCED_00080	CDS	471	D4L			Core protein D4
JELMLCED_00081	CDS	738				27 kDa core protein
JELMLCED_00082	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
JELMLCED_00083	CDS	2361		3.6.4.-		Primase D5
JELMLCED_00084	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
JELMLCED_00085	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
JELMLCED_00086	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
JELMLCED_00087	CDS	762		3.1.3.-		mRNA-decapping protein D10
JELMLCED_00088	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
JELMLCED_00089	CDS	864				mRNA-capping enzyme regulatory subunit
JELMLCED_00090	CDS	1650				Scaffold protein D13
JELMLCED_00091	CDS	453	VLTF2			Viral late gene transcription factor 2
JELMLCED_00092	CDS	684	VLTF3			Viral late gene transcription factor 3
JELMLCED_00093	CDS	228				Protein A2.5
JELMLCED_00094	CDS	1983				Major core protein 4b
JELMLCED_00095	CDS	486				hypothetical protein
JELMLCED_00096	CDS	504		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
JELMLCED_00097	CDS	1128	A6L			Protein A6
JELMLCED_00098	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
JELMLCED_00099	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
JELMLCED_00100	CDS	237				Virion membrane protein A9
JELMLCED_00101	CDS	2715				Major core protein 4a precursor
JELMLCED_00102	CDS	954				Protein A11
JELMLCED_00103	CDS	573				25 kDa core protein A12L
JELMLCED_00104	CDS	204				hypothetical protein
JELMLCED_00105	CDS	288				Virion membrane protein A14
JELMLCED_00106	CDS	288				Core protein A15
JELMLCED_00107	CDS	1134				Virion membrane protein A16
JELMLCED_00108	CDS	585				Virion membrane protein A17 precursor
JELMLCED_00109	CDS	1443		3.6.4.-		Transcript termination protein A18
JELMLCED_00110	CDS	225				Protein A19
JELMLCED_00111	CDS	159				hypothetical protein
JELMLCED_00112	CDS	1293				DNA polymerase processivity factor component A20
JELMLCED_00113	CDS	540		3.1.-.-		Resolvase A22
JELMLCED_00114	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
JELMLCED_00115	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
JELMLCED_00116	CDS	447				hypothetical protein
JELMLCED_00117	CDS	423				Envelope protein A28
JELMLCED_00118	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
JELMLCED_00119	CDS	225				hypothetical protein
JELMLCED_00120	CDS	126				hypothetical protein
JELMLCED_00121	CDS	765				Protein A32
JELMLCED_00122	CDS	606				Protein A33
JELMLCED_00123	CDS	516				Protein A34
JELMLCED_00124	CDS	576				Protein A35
JELMLCED_00125	CDS	867				hypothetical protein
JELMLCED_00126	CDS	519				hypothetical protein
JELMLCED_00127	CDS	822				hypothetical protein
JELMLCED_00128	CDS	906				hypothetical protein
JELMLCED_00129	CDS	351				hypothetical protein
JELMLCED_00130	CDS	246				hypothetical protein
JELMLCED_00131	CDS	486				hypothetical protein
JELMLCED_00132	CDS	1677	LIG	6.5.1.1		DNA ligase
JELMLCED_00133	CDS	6027				hypothetical protein
JELMLCED_00134	CDS	1083				Soluble interferon alpha/beta receptor B18
JELMLCED_00135	CDS	135				hypothetical protein
JELMLCED_00136	CDS	192				hypothetical protein
JELMLCED_00137	CDS	1008				hypothetical protein
JELMLCED_00138	CDS	561				hypothetical protein
JELMLCED_00139	CDS	918	VPK1	2.7.11.1		B1 kinase
JELMLCED_00140	CDS	723				hypothetical protein
JELMLCED_00141	CDS	678	PS/HR			Protein B5
JELMLCED_00142	CDS	408				hypothetical protein
JELMLCED_00143	CDS	909				hypothetical protein
JELMLCED_00144	CDS	1644	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
JELMLCED_00145	CDS	1905				hypothetical protein
JELMLCED_00146	CDS	1239		3.1.1.-		Envelope phospholipase F13
JELMLCED_00147	CDS	1497				Ankyrin repeat domain-containing protein M-T5
JELMLCED_00148	CDS	1344				Ankyrin repeat domain-containing protein M-T5
JELMLCED_00149	CDS	1014	SERP2			Serine proteinase inhibitor 2
JELMLCED_00150	CDS	486				hypothetical protein
JELMLCED_00151	CDS	1659	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
JELMLCED_00152	CDS	1362				Ankyrin repeat domain-containing protein M-T5
JELMLCED_00153	CDS	723				hypothetical protein
JELMLCED_00154	CDS	111				hypothetical protein
