# BUSCO version is: 5.5.0 
# The lineage dataset is: poxviridae_odb10 (Creation date: 2024-01-08, number of genomes: 39, number of BUSCOs: 18)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
10at10240	Duplicated	MN072626.1_Sheeppox_virus_Abu_Gharib_Iraq_sheep	59026	62883	+	1690.1	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072627.1_Sheeppox_virus_Saudi_Arabia_vaccine_sheep	59067	62924	+	1690.1	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	AY077834.1_Sheeppox_virus_NISKHI_1994	59474	63331	+	1689.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MW020571.1_Sheeppox_virus_V104_sheep	59814	63671	+	1689.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MW167070.1_Sheeppox_virus_V123_IndiaSurankote_2013_sheep	59737	63594	+	1689.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	AY077832.1_Sheeppox_virus_10700_99_TU_V02127_1970_sheep	59559	63416	+	1689.8	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	AY077833.1_Sheeppox_virus_A_1987_sheep	59668	63525	+	1689.8	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	KT438550.1_Sheeppox_virus_SPPV_GH_China_11_Apr_2013_Ovis_aries	59738	63595	+	1689.8	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	KT438551.1_Sheeppox_virus_SPPV_GL_China_11_Apr_2013_Ovis_aries	59734	63591	+	1689.8	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072628.1_Sheeppox_virus_Nigeria_sheep	59617	63474	+	1689.8	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
