locus_tag	ftype	length_bp	gene	EC_number	COG	product
JCHOPBNJ_00001	CDS	723				hypothetical protein
JCHOPBNJ_00002	CDS	513	BCRF1			Viral interleukin-10 
JCHOPBNJ_00003	CDS	696				hypothetical protein
JCHOPBNJ_00004	CDS	1068				hypothetical protein
JCHOPBNJ_00005	CDS	828				Soluble interferon gamma receptor B8
JCHOPBNJ_00006	CDS	693				hypothetical protein
JCHOPBNJ_00007	CDS	489				hypothetical protein
JCHOPBNJ_00008	CDS	1146				hypothetical protein
JCHOPBNJ_00009	CDS	636				hypothetical protein
JCHOPBNJ_00010	CDS	1026				hypothetical protein
JCHOPBNJ_00011	CDS	270				Protein K3
JCHOPBNJ_00012	CDS	486				hypothetical protein
JCHOPBNJ_00013	CDS	270				hypothetical protein
JCHOPBNJ_00014	CDS	531				hypothetical protein
JCHOPBNJ_00015	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
JCHOPBNJ_00016	CDS	1266				Kelch repeat protein F3
JCHOPBNJ_00017	CDS	453				hypothetical protein
JCHOPBNJ_00018	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
JCHOPBNJ_00019	CDS	261				hypothetical protein
JCHOPBNJ_00020	CDS	339				hypothetical protein
JCHOPBNJ_00021	CDS	219				hypothetical protein
JCHOPBNJ_00022	CDS	651				Protein F9
JCHOPBNJ_00023	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
JCHOPBNJ_00024	CDS	909				hypothetical protein
JCHOPBNJ_00025	CDS	1917				Protein F12
JCHOPBNJ_00026	CDS	1113		3.1.1.-		Envelope phospholipase F13
JCHOPBNJ_00027	CDS	147				hypothetical protein
JCHOPBNJ_00028	CDS	438				hypothetical protein
JCHOPBNJ_00029	CDS	660				hypothetical protein
JCHOPBNJ_00030	CDS	315				Phosphoprotein F17
JCHOPBNJ_00031	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
JCHOPBNJ_00032	CDS	2208				Protein E2
JCHOPBNJ_00033	CDS	579	E3L			Protein E3
JCHOPBNJ_00034	CDS	606				hypothetical protein
JCHOPBNJ_00035	CDS	1125				hypothetical protein
JCHOPBNJ_00036	CDS	1701				Protein E6
JCHOPBNJ_00037	CDS	801				Protein E8
JCHOPBNJ_00038	CDS	3033	POL	2.7.7.7		DNA polymerase
JCHOPBNJ_00039	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
JCHOPBNJ_00040	CDS	393				Protein E11
JCHOPBNJ_00041	CDS	2055				hypothetical protein
JCHOPBNJ_00042	CDS	945				Telomere-binding protein I1
JCHOPBNJ_00043	CDS	219				hypothetical protein
JCHOPBNJ_00044	CDS	831	I3L			Protein I3
JCHOPBNJ_00045	CDS	237				Protein I5
JCHOPBNJ_00046	CDS	1185				Telomere-binding protein I6
JCHOPBNJ_00047	CDS	1302		3.4.22.-		Core protease I7
JCHOPBNJ_00048	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
JCHOPBNJ_00049	CDS	1791		3.4.24.-		Metalloendopeptidase G1
JCHOPBNJ_00050	CDS	246				Protein G3
JCHOPBNJ_00051	CDS	669				Late transcription elongation factor G2
JCHOPBNJ_00052	CDS	381				Glutaredoxin-2
JCHOPBNJ_00053	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
JCHOPBNJ_00054	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
JCHOPBNJ_00055	CDS	525				hypothetical protein
JCHOPBNJ_00056	CDS	1122				Assembly protein G7
JCHOPBNJ_00057	CDS	783	VLTF1			Late transcription factor 1
JCHOPBNJ_00058	CDS	1011				Myristoylated protein G9
JCHOPBNJ_00059	CDS	738	L1R			Protein L1
JCHOPBNJ_00060	CDS	279				Protein L2
JCHOPBNJ_00061	CDS	957				Protein L3
JCHOPBNJ_00062	CDS	762	L4R			Core protein VP8
JCHOPBNJ_00063	CDS	396	L5R			Protein L5
JCHOPBNJ_00064	CDS	447				Protein J1 
JCHOPBNJ_00065	CDS	534	TK	2.7.1.21		Thymidine kinase
JCHOPBNJ_00066	CDS	594				hypothetical protein
JCHOPBNJ_00067	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
JCHOPBNJ_00068	CDS	402				Protein J5
JCHOPBNJ_00069	CDS	3858				hypothetical protein
JCHOPBNJ_00070	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
JCHOPBNJ_00071	CDS	573				Protein H2
JCHOPBNJ_00072	CDS	969	H3L			Envelope protein H3
JCHOPBNJ_00073	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
JCHOPBNJ_00074	CDS	672				Late transcription elongation factor H5
JCHOPBNJ_00075	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
JCHOPBNJ_00076	CDS	444	H7R			Late protein H7
JCHOPBNJ_00077	CDS	2529				mRNA-capping enzyme catalytic subunit
JCHOPBNJ_00078	CDS	468	D4L			Core protein D4
