locus_tag	ftype	length_bp	gene	EC_number	COG	product
KKOFEBLE_00001	CDS	723				hypothetical protein
KKOFEBLE_00002	CDS	513	BCRF1			Viral interleukin-10 
KKOFEBLE_00003	CDS	696				hypothetical protein
KKOFEBLE_00004	CDS	1068				hypothetical protein
KKOFEBLE_00005	CDS	828				Soluble interferon gamma receptor B8
KKOFEBLE_00006	CDS	489				hypothetical protein
KKOFEBLE_00007	CDS	1146				hypothetical protein
KKOFEBLE_00008	CDS	636				hypothetical protein
KKOFEBLE_00009	CDS	270				Protein K3
KKOFEBLE_00010	CDS	486				hypothetical protein
KKOFEBLE_00011	CDS	291				hypothetical protein
KKOFEBLE_00012	CDS	531				hypothetical protein
KKOFEBLE_00013	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
KKOFEBLE_00014	CDS	1689				Kelch repeat protein F3
KKOFEBLE_00015	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
KKOFEBLE_00016	CDS	99				hypothetical protein
KKOFEBLE_00017	CDS	327				hypothetical protein
KKOFEBLE_00018	CDS	219				hypothetical protein
KKOFEBLE_00019	CDS	651				Protein F9
KKOFEBLE_00020	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
KKOFEBLE_00021	CDS	129				hypothetical protein
KKOFEBLE_00022	CDS	150				hypothetical protein
KKOFEBLE_00023	CDS	1920				Protein F12
KKOFEBLE_00024	CDS	1113		3.1.1.-		Envelope phospholipase F13
KKOFEBLE_00025	CDS	147				hypothetical protein
KKOFEBLE_00026	CDS	438				hypothetical protein
KKOFEBLE_00027	CDS	660				hypothetical protein
KKOFEBLE_00028	CDS	315				Phosphoprotein F17
KKOFEBLE_00029	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
KKOFEBLE_00030	CDS	2208				Protein E2
KKOFEBLE_00031	CDS	579	E3L			Protein E3
KKOFEBLE_00032	CDS	606				hypothetical protein
KKOFEBLE_00033	CDS	1134				hypothetical protein
KKOFEBLE_00034	CDS	1701				Protein E6
KKOFEBLE_00035	CDS	798				Protein E8
KKOFEBLE_00036	CDS	3033	POL	2.7.7.7		DNA polymerase
KKOFEBLE_00037	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
KKOFEBLE_00038	CDS	393				Protein E11
