locus_tag	ftype	length_bp	gene	EC_number	COG	product
KCBEBCIG_00001	gene	186				
KCBEBCIG_00001	CDS	186				hypothetical protein
KCBEBCIG_00002	gene	300				
KCBEBCIG_00002	CDS	300				hypothetical protein
KCBEBCIG_00003	gene	723				
KCBEBCIG_00003	CDS	723				hypothetical protein
KCBEBCIG_00004	gene	513	BCRF1			
KCBEBCIG_00004	CDS	513	BCRF1			Viral interleukin-10 
KCBEBCIG_00005	gene	696				
KCBEBCIG_00005	CDS	696				hypothetical protein
KCBEBCIG_00006	gene	1068				
KCBEBCIG_00006	CDS	1068				hypothetical protein
KCBEBCIG_00007	gene	828				
KCBEBCIG_00007	CDS	828				Soluble interferon gamma receptor B8
KCBEBCIG_00008	gene	693				
KCBEBCIG_00008	CDS	693				hypothetical protein
KCBEBCIG_00009	gene	489				
KCBEBCIG_00009	CDS	489				hypothetical protein
KCBEBCIG_00010	gene	1134				
KCBEBCIG_00010	CDS	1134				hypothetical protein
KCBEBCIG_00011	gene	636				
KCBEBCIG_00011	CDS	636				hypothetical protein
KCBEBCIG_00012	gene	1026				
KCBEBCIG_00012	CDS	1026				hypothetical protein
KCBEBCIG_00013	gene	270				
KCBEBCIG_00013	CDS	270				Protein K3
KCBEBCIG_00014	gene	486				
KCBEBCIG_00014	CDS	486				hypothetical protein
KCBEBCIG_00015	gene	270				
KCBEBCIG_00015	CDS	270				hypothetical protein
KCBEBCIG_00016	gene	531				
KCBEBCIG_00016	CDS	531				hypothetical protein
KCBEBCIG_00017	gene	441	DUT			
KCBEBCIG_00017	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
KCBEBCIG_00018	gene	873				
KCBEBCIG_00018	CDS	873				Kelch repeat protein F3
KCBEBCIG_00019	gene	813				
KCBEBCIG_00019	CDS	813				hypothetical protein
KCBEBCIG_00020	gene	966	F4L			
KCBEBCIG_00020	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
KCBEBCIG_00021	gene	261				
KCBEBCIG_00021	CDS	261				hypothetical protein
KCBEBCIG_00022	gene	345				
KCBEBCIG_00022	CDS	345				hypothetical protein
KCBEBCIG_00023	gene	219				
KCBEBCIG_00023	CDS	219				hypothetical protein
KCBEBCIG_00024	gene	651				
KCBEBCIG_00024	CDS	651				Protein F9
KCBEBCIG_00025	gene	1344	VPK2			
KCBEBCIG_00025	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
KCBEBCIG_00026	gene	375				
KCBEBCIG_00026	CDS	375				hypothetical protein
KCBEBCIG_00027	gene	324				
KCBEBCIG_00027	CDS	324				hypothetical protein
KCBEBCIG_00028	gene	1917				
KCBEBCIG_00028	CDS	1917				Protein F12
KCBEBCIG_00029	gene	1113				
KCBEBCIG_00029	CDS	1113		3.1.1.-		Envelope phospholipase F13
KCBEBCIG_00030	gene	147				
KCBEBCIG_00030	CDS	147				hypothetical protein
KCBEBCIG_00031	gene	438				
KCBEBCIG_00031	CDS	438				hypothetical protein
KCBEBCIG_00032	gene	660				
KCBEBCIG_00032	CDS	660				hypothetical protein
KCBEBCIG_00033	gene	315				
KCBEBCIG_00033	CDS	315				Phosphoprotein F17
KCBEBCIG_00034	gene	1425	PAPL			
KCBEBCIG_00034	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
KCBEBCIG_00035	gene	2208				
KCBEBCIG_00035	CDS	2208				Protein E2
KCBEBCIG_00036	gene	534	E3L			
KCBEBCIG_00036	CDS	534	E3L			Protein E3
KCBEBCIG_00037	gene	606				
KCBEBCIG_00037	CDS	606				hypothetical protein
KCBEBCIG_00038	gene	1125				
KCBEBCIG_00038	CDS	1125				hypothetical protein
KCBEBCIG_00039	gene	1701				
KCBEBCIG_00039	CDS	1701				Protein E6
KCBEBCIG_00040	gene	801				
KCBEBCIG_00040	CDS	801				Protein E8
KCBEBCIG_00041	gene	3033	POL			
KCBEBCIG_00041	CDS	3033	POL	2.7.7.7		DNA polymerase
KCBEBCIG_00042	gene	288				
KCBEBCIG_00042	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
KCBEBCIG_00043	gene	393				
KCBEBCIG_00043	CDS	393				Protein E11
KCBEBCIG_00044	gene	2055				
KCBEBCIG_00044	CDS	2055				hypothetical protein
KCBEBCIG_00045	gene	945				
KCBEBCIG_00045	CDS	945				Telomere-binding protein I1
KCBEBCIG_00046	gene	219				
KCBEBCIG_00046	CDS	219				hypothetical protein
KCBEBCIG_00047	gene	831	I3L			
KCBEBCIG_00047	CDS	831	I3L			Protein I3
KCBEBCIG_00048	gene	237				
KCBEBCIG_00048	CDS	237				Protein I5
KCBEBCIG_00049	gene	1185				
KCBEBCIG_00049	CDS	1185				Telomere-binding protein I6
KCBEBCIG_00050	gene	1302				
KCBEBCIG_00050	CDS	1302		3.4.22.-		Core protease I7
KCBEBCIG_00051	gene	2031	NPH2			
KCBEBCIG_00051	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
