# BUSCO version is: 5.5.0 
# The lineage dataset is: poxviridae_odb10 (Creation date: 2024-01-08, number of genomes: 39, number of BUSCOs: 18)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
10at10240	Duplicated	KC951854.1_Goatpox_virus_FZ_China_10_Jan_2012_goat	59702	63559	+	1691.0	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MH381810.1_Goatpox_virus_AV41_China_Jan_2018_goat	59730	63587	+	1691.0	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072620.1_Goatpox_virus_India_goat	59832	63689	+	1691.0	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072621.1_Goatpox_virus_Vietnam_goat	59813	63670	+	1691.0	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MW020570.1_Goatpox_virus_V103_goat	59921	63778	+	1691.0	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072623.1_Goatpox_virus_Oman_goat	59747	63604	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072624.1_Goatpox_virus_Sudan_goat	59776	63633	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072625.1_Goatpox_virus_Yemen_goat	59849	63706	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	AY077835.1_Goatpox_virus_Pellor_2000	59406	63263	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	AY077836.1_Goatpox_virus_G20_LKV_2000	59469	63326	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	KX576657.1_Goatpox_virus_Gorgan_Iran_1965_goat	59530	63387	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	MN072622.1_Goatpox_virus_Turkey_goat	59586	63443	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
10at10240	Duplicated	NC_004003.1_Goatpox_virus_Pellor_2000	59406	63263	+	1690.9	1104	https://www.orthodb.org/v10?query=10at10240	RNA polymerase Rpb1, domain 4
