locus_tag	ftype	length_bp	gene	EC_number	COG	product
HGPECDLA_00001	CDS	723				hypothetical protein
HGPECDLA_00002	CDS	222				hypothetical protein
HGPECDLA_00003	CDS	513	BCRF1			Viral interleukin-10 
HGPECDLA_00004	CDS	696				hypothetical protein
HGPECDLA_00005	CDS	1068				hypothetical protein
HGPECDLA_00006	CDS	828				Soluble interferon gamma receptor B8
HGPECDLA_00007	CDS	249				hypothetical protein
HGPECDLA_00008	CDS	489				hypothetical protein
HGPECDLA_00009	CDS	1146				hypothetical protein
HGPECDLA_00010	CDS	636				hypothetical protein
HGPECDLA_00011	CDS	270				Protein K3
HGPECDLA_00012	CDS	486				hypothetical protein
HGPECDLA_00013	CDS	282				hypothetical protein
HGPECDLA_00014	CDS	531				hypothetical protein
HGPECDLA_00015	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
HGPECDLA_00016	CDS	1689				Kelch repeat protein F3
HGPECDLA_00017	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
HGPECDLA_00018	CDS	96				hypothetical protein
HGPECDLA_00019	CDS	318				hypothetical protein
HGPECDLA_00020	CDS	219				hypothetical protein
HGPECDLA_00021	CDS	651				Protein F9
HGPECDLA_00022	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
HGPECDLA_00023	CDS	150				hypothetical protein
HGPECDLA_00024	CDS	183				hypothetical protein
HGPECDLA_00025	CDS	1920				Protein F12
HGPECDLA_00026	CDS	1113		3.1.1.-		Envelope phospholipase F13
HGPECDLA_00027	CDS	147				hypothetical protein
HGPECDLA_00028	CDS	438				hypothetical protein
HGPECDLA_00029	CDS	660				hypothetical protein
HGPECDLA_00030	CDS	315				Phosphoprotein F17
HGPECDLA_00031	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
HGPECDLA_00032	CDS	2208				Protein E2
HGPECDLA_00033	CDS	534	E3L			Protein E3
HGPECDLA_00034	CDS	612				hypothetical protein
HGPECDLA_00035	CDS	1134				hypothetical protein
HGPECDLA_00036	CDS	1701				Protein E6
HGPECDLA_00037	CDS	798				Protein E8
HGPECDLA_00038	CDS	3033	POL	2.7.7.7		DNA polymerase
HGPECDLA_00039	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
HGPECDLA_00040	CDS	393				Protein E11
HGPECDLA_00041	CDS	2052				hypothetical protein
HGPECDLA_00042	CDS	945				Telomere-binding protein I1
HGPECDLA_00043	CDS	216				hypothetical protein
HGPECDLA_00044	CDS	831	I3L			Protein I3
HGPECDLA_00045	CDS	237				Protein I5
HGPECDLA_00046	CDS	1185				Telomere-binding protein I6
HGPECDLA_00047	CDS	1302		3.4.22.-		Core protease I7
HGPECDLA_00048	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
HGPECDLA_00049	CDS	1788		3.4.24.-		Metalloendopeptidase G1
HGPECDLA_00050	CDS	246				Protein G3
HGPECDLA_00051	CDS	669				Late transcription elongation factor G2
HGPECDLA_00052	CDS	381				Glutaredoxin-2
HGPECDLA_00053	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
HGPECDLA_00054	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
HGPECDLA_00055	CDS	525				hypothetical protein
HGPECDLA_00056	CDS	1122				Assembly protein G7
HGPECDLA_00057	CDS	783	VLTF1			Late transcription factor 1
HGPECDLA_00058	CDS	1011				Myristoylated protein G9
HGPECDLA_00059	CDS	738	L1R			Protein L1
HGPECDLA_00060	CDS	279				Protein L2
HGPECDLA_00061	CDS	957				Protein L3
HGPECDLA_00062	CDS	762	L4R			Core protein VP8
HGPECDLA_00063	CDS	396				Protein L5
HGPECDLA_00064	CDS	444				Protein J1 
HGPECDLA_00065	CDS	534	TK	2.7.1.21		Thymidine kinase
HGPECDLA_00066	CDS	594				hypothetical protein
HGPECDLA_00067	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
HGPECDLA_00068	CDS	402				Protein J5
HGPECDLA_00069	CDS	3858				hypothetical protein
HGPECDLA_00070	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
HGPECDLA_00071	CDS	573				Protein H2
HGPECDLA_00072	CDS	969	H3L			Envelope protein H3
HGPECDLA_00073	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
HGPECDLA_00074	CDS	693	H5R			Late transcription elongation factor H5
HGPECDLA_00075	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
HGPECDLA_00076	CDS	444	H7R			Late protein H7
HGPECDLA_00077	CDS	2529				mRNA-capping enzyme catalytic subunit
HGPECDLA_00078	CDS	468	D4L			Core protein D4
HGPECDLA_00079	CDS	738				27 kDa core protein
HGPECDLA_00080	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
HGPECDLA_00081	CDS	2361		3.6.4.-		Primase D5
HGPECDLA_00082	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
HGPECDLA_00083	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
HGPECDLA_00084	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
HGPECDLA_00085	CDS	762		3.1.3.-		mRNA-decapping protein D10
HGPECDLA_00086	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
HGPECDLA_00087	CDS	864				mRNA-capping enzyme regulatory subunit
HGPECDLA_00088	CDS	1650				Scaffold protein D13
HGPECDLA_00089	CDS	453	VLTF2			Viral late gene transcription factor 2
HGPECDLA_00090	CDS	699	VLTF3			Viral late gene transcription factor 3
HGPECDLA_00091	CDS	228				Protein A2.5
HGPECDLA_00092	CDS	1986				Major core protein 4b
HGPECDLA_00093	CDS	486				hypothetical protein
HGPECDLA_00094	CDS	513		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
HGPECDLA_00095	CDS	1128	A6L			Protein A6
HGPECDLA_00096	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
HGPECDLA_00097	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
HGPECDLA_00098	CDS	237				Virion membrane protein A9
HGPECDLA_00099	CDS	2712				Major core protein 4a precursor
HGPECDLA_00100	CDS	954				Protein A11
HGPECDLA_00101	CDS	573				25 kDa core protein A12L
HGPECDLA_00102	CDS	204				hypothetical protein
HGPECDLA_00103	CDS	288				Virion membrane protein A14
HGPECDLA_00104	CDS	288				Core protein A15
HGPECDLA_00105	CDS	1134				Virion membrane protein A16
HGPECDLA_00106	CDS	582				Virion membrane protein A17 precursor
HGPECDLA_00107	CDS	1443		3.6.4.-		Transcript termination protein A18
HGPECDLA_00108	CDS	225				Protein A19
HGPECDLA_00109	CDS	159				hypothetical protein
HGPECDLA_00110	CDS	1293				DNA polymerase processivity factor component A20
HGPECDLA_00111	CDS	507		3.1.-.-		Resolvase A22
HGPECDLA_00112	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
HGPECDLA_00113	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
HGPECDLA_00114	CDS	447				hypothetical protein
HGPECDLA_00115	CDS	423				Envelope protein A28
HGPECDLA_00116	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
HGPECDLA_00117	CDS	225				hypothetical protein
HGPECDLA_00118	CDS	126				hypothetical protein
HGPECDLA_00119	CDS	762				Protein A32
HGPECDLA_00120	CDS	597				Protein A33
HGPECDLA_00121	CDS	516				Protein A34
HGPECDLA_00122	CDS	576				Protein A35
HGPECDLA_00123	CDS	867				hypothetical protein
HGPECDLA_00124	CDS	519				hypothetical protein
HGPECDLA_00125	CDS	822				hypothetical protein
HGPECDLA_00126	CDS	906				hypothetical protein
HGPECDLA_00127	CDS	351				hypothetical protein
HGPECDLA_00128	CDS	249				hypothetical protein
HGPECDLA_00129	CDS	486				hypothetical protein
HGPECDLA_00130	CDS	1674	LIG	6.5.1.1		DNA ligase
HGPECDLA_00131	CDS	6027				hypothetical protein
HGPECDLA_00132	CDS	1086				Soluble interferon alpha/beta receptor B18
HGPECDLA_00133	CDS	462				hypothetical protein
HGPECDLA_00134	CDS	1008				hypothetical protein
HGPECDLA_00135	CDS	594				hypothetical protein
HGPECDLA_00136	CDS	918	VPK1	2.7.11.1		B1 kinase
HGPECDLA_00137	CDS	723				hypothetical protein
HGPECDLA_00138	CDS	678				hypothetical protein
HGPECDLA_00139	CDS	408				hypothetical protein
HGPECDLA_00140	CDS	909				hypothetical protein
HGPECDLA_00141	CDS	1644	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
HGPECDLA_00142	CDS	1905				hypothetical protein
HGPECDLA_00143	CDS	1239		3.1.1.-		Envelope phospholipase F13
HGPECDLA_00144	CDS	1497				Ankyrin repeat domain-containing protein M-T5
