locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILJDMEPN_00001	CDS	723				hypothetical protein
ILJDMEPN_00002	CDS	507	BCRF1			Viral interleukin-10 
ILJDMEPN_00003	CDS	696				hypothetical protein
ILJDMEPN_00004	CDS	1068				hypothetical protein
ILJDMEPN_00005	CDS	828				Soluble interferon gamma receptor B8
ILJDMEPN_00006	CDS	156				hypothetical protein
ILJDMEPN_00007	CDS	489				hypothetical protein
ILJDMEPN_00008	CDS	1125				hypothetical protein
ILJDMEPN_00009	CDS	636				hypothetical protein
ILJDMEPN_00010	CDS	270				Protein K3
ILJDMEPN_00011	CDS	486				hypothetical protein
ILJDMEPN_00012	CDS	303				hypothetical protein
ILJDMEPN_00013	CDS	531				hypothetical protein
ILJDMEPN_00014	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
ILJDMEPN_00015	CDS	1710				Kelch repeat protein F3
ILJDMEPN_00016	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
ILJDMEPN_00017	CDS	96				hypothetical protein
ILJDMEPN_00018	CDS	312				hypothetical protein
ILJDMEPN_00019	CDS	219				hypothetical protein
ILJDMEPN_00020	CDS	651				Protein F9
ILJDMEPN_00021	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
ILJDMEPN_00022	CDS	138				hypothetical protein
ILJDMEPN_00023	CDS	1923				Protein F12
ILJDMEPN_00024	CDS	1113		3.1.1.-		Envelope phospholipase F13
ILJDMEPN_00025	CDS	147				hypothetical protein
ILJDMEPN_00026	CDS	438				hypothetical protein
ILJDMEPN_00027	CDS	660				hypothetical protein
ILJDMEPN_00028	CDS	315				Phosphoprotein F17
ILJDMEPN_00029	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
ILJDMEPN_00030	CDS	2208				Protein E2
ILJDMEPN_00031	CDS	534	E3L			Protein E3
ILJDMEPN_00032	CDS	585				hypothetical protein
ILJDMEPN_00033	CDS	1134				hypothetical protein
ILJDMEPN_00034	CDS	1701				Protein E6
