locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJCKHNBG_00001	CDS	723				hypothetical protein
EJCKHNBG_00002	CDS	513	BCRF1			Viral interleukin-10 
EJCKHNBG_00003	CDS	696				hypothetical protein
EJCKHNBG_00004	CDS	1068				hypothetical protein
EJCKHNBG_00005	CDS	828				Soluble interferon gamma receptor B8
EJCKHNBG_00006	CDS	693				hypothetical protein
EJCKHNBG_00007	CDS	489				hypothetical protein
EJCKHNBG_00008	CDS	1146				hypothetical protein
EJCKHNBG_00009	CDS	636				hypothetical protein
EJCKHNBG_00010	CDS	1026				hypothetical protein
EJCKHNBG_00011	CDS	270				Protein K3
EJCKHNBG_00012	CDS	486				hypothetical protein
EJCKHNBG_00013	CDS	270				hypothetical protein
EJCKHNBG_00014	CDS	531				hypothetical protein
EJCKHNBG_00015	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
EJCKHNBG_00016	CDS	1710				Kelch repeat protein F3
EJCKHNBG_00017	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
EJCKHNBG_00018	CDS	261				hypothetical protein
EJCKHNBG_00019	CDS	339				hypothetical protein
EJCKHNBG_00020	CDS	219				hypothetical protein
EJCKHNBG_00021	CDS	651				Protein F9
EJCKHNBG_00022	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
EJCKHNBG_00023	CDS	909				hypothetical protein
EJCKHNBG_00024	CDS	1917				Protein F12
EJCKHNBG_00025	CDS	1113		3.1.1.-		Envelope phospholipase F13
EJCKHNBG_00026	CDS	147				hypothetical protein
EJCKHNBG_00027	CDS	438				hypothetical protein
EJCKHNBG_00028	CDS	660				hypothetical protein
EJCKHNBG_00029	CDS	315				Phosphoprotein F17
EJCKHNBG_00030	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
EJCKHNBG_00031	CDS	2208				Protein E2
EJCKHNBG_00032	CDS	534	E3L			Protein E3
EJCKHNBG_00033	CDS	606				hypothetical protein
EJCKHNBG_00034	CDS	1125				hypothetical protein
EJCKHNBG_00035	CDS	1701				Protein E6
EJCKHNBG_00036	CDS	801				Protein E8
EJCKHNBG_00037	CDS	3033	POL	2.7.7.7		DNA polymerase
EJCKHNBG_00038	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
EJCKHNBG_00039	CDS	393				Protein E11
EJCKHNBG_00040	CDS	2055				hypothetical protein
EJCKHNBG_00041	CDS	945				Telomere-binding protein I1
