locus_tag	ftype	length_bp	gene	EC_number	COG	product
KGOPFGHK_00001	CDS	723				hypothetical protein
KGOPFGHK_00002	CDS	507	BCRF1			Viral interleukin-10 
KGOPFGHK_00003	CDS	696				hypothetical protein
KGOPFGHK_00004	CDS	1068				hypothetical protein
KGOPFGHK_00005	CDS	828				Soluble interferon gamma receptor B8
KGOPFGHK_00006	CDS	156				hypothetical protein
KGOPFGHK_00007	CDS	489				hypothetical protein
KGOPFGHK_00008	CDS	1125				hypothetical protein
KGOPFGHK_00009	CDS	636				hypothetical protein
KGOPFGHK_00010	CDS	270				Protein K3
KGOPFGHK_00011	CDS	486				hypothetical protein
KGOPFGHK_00012	CDS	303				hypothetical protein
KGOPFGHK_00013	CDS	531				hypothetical protein
KGOPFGHK_00014	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
KGOPFGHK_00015	CDS	1710				Kelch repeat protein F3
KGOPFGHK_00016	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
KGOPFGHK_00017	CDS	96				hypothetical protein
KGOPFGHK_00018	CDS	312				hypothetical protein
KGOPFGHK_00019	CDS	219				hypothetical protein
KGOPFGHK_00020	CDS	651				Protein F9
KGOPFGHK_00021	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
KGOPFGHK_00022	CDS	138				hypothetical protein
KGOPFGHK_00023	CDS	1923				Protein F12
KGOPFGHK_00024	CDS	1113		3.1.1.-		Envelope phospholipase F13
KGOPFGHK_00025	CDS	147				hypothetical protein
KGOPFGHK_00026	CDS	438				hypothetical protein
KGOPFGHK_00027	CDS	660				hypothetical protein
KGOPFGHK_00028	CDS	315				Phosphoprotein F17
KGOPFGHK_00029	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
KGOPFGHK_00030	CDS	2208				Protein E2
KGOPFGHK_00031	CDS	534	E3L			Protein E3
KGOPFGHK_00032	CDS	585				hypothetical protein
KGOPFGHK_00033	CDS	1134				hypothetical protein
KGOPFGHK_00034	CDS	1701				Protein E6
KGOPFGHK_00035	CDS	798				Protein E8
KGOPFGHK_00036	CDS	3033	POL	2.7.7.7		DNA polymerase
KGOPFGHK_00037	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
KGOPFGHK_00038	CDS	393				Protein E11
KGOPFGHK_00039	CDS	2055				hypothetical protein
KGOPFGHK_00040	CDS	945				Telomere-binding protein I1
KGOPFGHK_00041	CDS	216				hypothetical protein
KGOPFGHK_00042	CDS	831	I3L			Protein I3
KGOPFGHK_00043	CDS	237				Protein I5
KGOPFGHK_00044	CDS	1185				Telomere-binding protein I6
KGOPFGHK_00045	CDS	1302		3.4.22.-		Core protease I7
KGOPFGHK_00046	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
KGOPFGHK_00047	CDS	1788		3.4.24.-		Metalloendopeptidase G1
KGOPFGHK_00048	CDS	246				Protein G3
KGOPFGHK_00049	CDS	669				Late transcription elongation factor G2
