locus_tag	ftype	length_bp	gene	EC_number	COG	product
ABACBCNL_00001	CDS	723				hypothetical protein
ABACBCNL_00002	CDS	513	BCRF1			Viral interleukin-10 
ABACBCNL_00003	CDS	696				hypothetical protein
ABACBCNL_00004	CDS	1068				hypothetical protein
ABACBCNL_00005	CDS	828				Soluble interferon gamma receptor B8
ABACBCNL_00006	CDS	489				hypothetical protein
ABACBCNL_00007	CDS	1146				hypothetical protein
ABACBCNL_00008	CDS	636				hypothetical protein
ABACBCNL_00009	CDS	270				Protein K3
ABACBCNL_00010	CDS	486				hypothetical protein
ABACBCNL_00011	CDS	303				hypothetical protein
ABACBCNL_00012	CDS	531				hypothetical protein
ABACBCNL_00013	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
ABACBCNL_00014	CDS	1689				Kelch repeat protein F3
ABACBCNL_00015	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
ABACBCNL_00016	CDS	99				hypothetical protein
ABACBCNL_00017	CDS	321				hypothetical protein
ABACBCNL_00018	CDS	651				Protein F9
ABACBCNL_00019	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
ABACBCNL_00020	CDS	129				hypothetical protein
ABACBCNL_00021	CDS	150				hypothetical protein
ABACBCNL_00022	CDS	1920				Protein F12
ABACBCNL_00023	CDS	1113		3.1.1.-		Envelope phospholipase F13
ABACBCNL_00024	CDS	147				hypothetical protein
ABACBCNL_00025	CDS	438				hypothetical protein
ABACBCNL_00026	CDS	660				hypothetical protein
ABACBCNL_00027	CDS	315				Phosphoprotein F17
ABACBCNL_00028	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
ABACBCNL_00029	CDS	2208				Protein E2
ABACBCNL_00030	CDS	579	E3L			Protein E3
ABACBCNL_00031	CDS	606				hypothetical protein
ABACBCNL_00032	CDS	1134				hypothetical protein
ABACBCNL_00033	CDS	1701				Protein E6
ABACBCNL_00034	CDS	798				Protein E8
ABACBCNL_00035	CDS	3033	POL	2.7.7.7		DNA polymerase
ABACBCNL_00036	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
ABACBCNL_00037	CDS	393				Protein E11
ABACBCNL_00038	CDS	2055				hypothetical protein
ABACBCNL_00039	CDS	945				Telomere-binding protein I1
ABACBCNL_00040	CDS	216				hypothetical protein
ABACBCNL_00041	CDS	831	I3L			Protein I3
ABACBCNL_00042	CDS	237				Protein I5
ABACBCNL_00043	CDS	1185				Telomere-binding protein I6
ABACBCNL_00044	CDS	1302		3.4.22.-		Core protease I7
ABACBCNL_00045	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
ABACBCNL_00046	CDS	1788		3.4.24.-		Metalloendopeptidase G1
ABACBCNL_00047	CDS	246				Protein G3
ABACBCNL_00048	CDS	669				Late transcription elongation factor G2
ABACBCNL_00049	CDS	381				Glutaredoxin-2
ABACBCNL_00050	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
ABACBCNL_00051	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
ABACBCNL_00052	CDS	525				hypothetical protein
ABACBCNL_00053	CDS	1122				Assembly protein G7
ABACBCNL_00054	CDS	783	VLTF1			Late transcription factor 1
ABACBCNL_00055	CDS	1011				Myristoylated protein G9
ABACBCNL_00056	CDS	738	L1R			Protein L1
ABACBCNL_00057	CDS	279				Protein L2
ABACBCNL_00058	CDS	957				Protein L3
ABACBCNL_00059	CDS	762	L4R			Core protein VP8
ABACBCNL_00060	CDS	396				Protein L5
ABACBCNL_00061	CDS	444				Protein J1 
ABACBCNL_00062	CDS	534	TK	2.7.1.21		Thymidine kinase
ABACBCNL_00063	CDS	594				putative host range protein 2-3
ABACBCNL_00064	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
ABACBCNL_00065	CDS	402				Protein J5
ABACBCNL_00066	CDS	3858				hypothetical protein
ABACBCNL_00067	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
ABACBCNL_00068	CDS	573				Protein H2
ABACBCNL_00069	CDS	969	H3L			Envelope protein H3
ABACBCNL_00070	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
ABACBCNL_00071	CDS	708	H5R			Late transcription elongation factor H5
ABACBCNL_00072	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
ABACBCNL_00073	CDS	444	H7R			Late protein H7
ABACBCNL_00074	CDS	2529				mRNA-capping enzyme catalytic subunit
ABACBCNL_00075	CDS	468	D4L			Core protein D4
ABACBCNL_00076	CDS	738				27 kDa core protein
ABACBCNL_00077	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
ABACBCNL_00078	CDS	2361		3.6.4.-		Primase D5
ABACBCNL_00079	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
ABACBCNL_00080	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
ABACBCNL_00081	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
ABACBCNL_00082	CDS	762		3.1.3.-		mRNA-decapping protein D10
ABACBCNL_00083	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
ABACBCNL_00084	CDS	864				mRNA-capping enzyme regulatory subunit
ABACBCNL_00085	CDS	1650				Scaffold protein D13
ABACBCNL_00086	CDS	453	VLTF2			Viral late gene transcription factor 2
ABACBCNL_00087	CDS	684	VLTF3			Viral late gene transcription factor 3
ABACBCNL_00088	CDS	228				Protein A2.5
ABACBCNL_00089	CDS	1983				Major core protein 4b
ABACBCNL_00090	CDS	486				hypothetical protein
ABACBCNL_00091	CDS	504		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
ABACBCNL_00092	CDS	1128	A6L			Protein A6
ABACBCNL_00093	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
ABACBCNL_00094	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
ABACBCNL_00095	CDS	237				Virion membrane protein A9
ABACBCNL_00096	CDS	2715				Major core protein 4a precursor
ABACBCNL_00097	CDS	954				Protein A11
ABACBCNL_00098	CDS	573				25 kDa core protein A12L
ABACBCNL_00099	CDS	204				hypothetical protein
ABACBCNL_00100	CDS	288				Virion membrane protein A14
ABACBCNL_00101	CDS	288				Core protein A15
ABACBCNL_00102	CDS	1134				Virion membrane protein A16
ABACBCNL_00103	CDS	585				Virion membrane protein A17 precursor
ABACBCNL_00104	CDS	1443		3.6.4.-		Transcript termination protein A18
ABACBCNL_00105	CDS	225				Protein A19
ABACBCNL_00106	CDS	159				hypothetical protein
ABACBCNL_00107	CDS	1293				DNA polymerase processivity factor component A20
ABACBCNL_00108	CDS	540		3.1.-.-		Resolvase A22
ABACBCNL_00109	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
ABACBCNL_00110	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
ABACBCNL_00111	CDS	447				hypothetical protein
ABACBCNL_00112	CDS	423				Envelope protein A28
ABACBCNL_00113	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
ABACBCNL_00114	CDS	225				hypothetical protein
ABACBCNL_00115	CDS	126				hypothetical protein
ABACBCNL_00116	CDS	765				Protein A32
