locus_tag	ftype	length_bp	gene	EC_number	COG	product
AAMCOKHH_00001	CDS	723				hypothetical protein
AAMCOKHH_00002	CDS	222				hypothetical protein
AAMCOKHH_00003	CDS	513	BCRF1			Viral interleukin-10 
AAMCOKHH_00004	CDS	696				hypothetical protein
AAMCOKHH_00005	CDS	1068				hypothetical protein
AAMCOKHH_00006	CDS	828				Soluble interferon gamma receptor B8
AAMCOKHH_00007	CDS	489				hypothetical protein
AAMCOKHH_00008	CDS	1146				hypothetical protein
AAMCOKHH_00009	CDS	636				hypothetical protein
AAMCOKHH_00010	CDS	270				Protein K3
AAMCOKHH_00011	CDS	486				hypothetical protein
AAMCOKHH_00012	CDS	303				hypothetical protein
AAMCOKHH_00013	CDS	531				hypothetical protein
AAMCOKHH_00014	CDS	441	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
AAMCOKHH_00015	CDS	1689				Kelch repeat protein F3
AAMCOKHH_00016	CDS	966	F4L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
AAMCOKHH_00017	CDS	96				hypothetical protein
AAMCOKHH_00018	CDS	321				hypothetical protein
AAMCOKHH_00019	CDS	219				hypothetical protein
AAMCOKHH_00020	CDS	651				Protein F9
AAMCOKHH_00021	CDS	1344	VPK2	2.7.11.1		Serine/threonine-protein kinase 2
AAMCOKHH_00022	CDS	150				hypothetical protein
AAMCOKHH_00023	CDS	183				hypothetical protein
AAMCOKHH_00024	CDS	1920				Protein F12
AAMCOKHH_00025	CDS	1113		3.1.1.-		Envelope phospholipase F13
AAMCOKHH_00026	CDS	147				hypothetical protein
AAMCOKHH_00027	CDS	438				hypothetical protein
AAMCOKHH_00028	CDS	660				hypothetical protein
AAMCOKHH_00029	CDS	315				Phosphoprotein F17
AAMCOKHH_00030	CDS	1425	PAPL	2.7.7.19		Poly(A) polymerase catalytic subunit
AAMCOKHH_00031	CDS	2208				Protein E2
AAMCOKHH_00032	CDS	534	E3L			Protein E3
AAMCOKHH_00033	CDS	606				hypothetical protein
AAMCOKHH_00034	CDS	1134				hypothetical protein
AAMCOKHH_00035	CDS	1701				Protein E6
AAMCOKHH_00036	CDS	798				Protein E8
AAMCOKHH_00037	CDS	3033	POL	2.7.7.7		DNA polymerase
AAMCOKHH_00038	CDS	288		1.8.3.2		putative FAD-linked sulfhydryl oxidase E10
AAMCOKHH_00039	CDS	393				Protein E11
AAMCOKHH_00040	CDS	2052				hypothetical protein
AAMCOKHH_00041	CDS	945				Telomere-binding protein I1
AAMCOKHH_00042	CDS	216				hypothetical protein
AAMCOKHH_00043	CDS	831	I3L			Protein I3
AAMCOKHH_00044	CDS	237				Protein I5
AAMCOKHH_00045	CDS	1185				Telomere-binding protein I6
AAMCOKHH_00046	CDS	1302		3.4.22.-		Core protease I7
AAMCOKHH_00047	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
AAMCOKHH_00048	CDS	1788		3.4.24.-		Metalloendopeptidase G1
AAMCOKHH_00049	CDS	246				Protein G3
AAMCOKHH_00050	CDS	669				Late transcription elongation factor G2
AAMCOKHH_00051	CDS	381				Glutaredoxin-2
